Business Name,Phone,Street Address,Locality,Category,Rating
Last Minute Monkey,(808) 989-6097,N/A,N/A,Tours-Operators & PromotersTourist Information & AttractionsBoat Rental & Charter,N/A
Hawaii Tropical Bioreserve and Garden,(808) 964-5233,N/A,N/A,ZoosPlaces Of InterestTourist Information & Attractions,N/A
Island Breeze Luau,(808) 329-8111,N/A,N/A,Tourist Information & Attractions,N/A
Miranda's Tour Company,(808) 936-8660,N/A,N/A,Sightseeing ToursTours-Operators & PromotersTourist Information & Attractions,N/A
Home Tours Hawaii,(808) 325-5772,N/A,N/A,Tours-Operators & Promoters,N/A
Active Lava Hawaiian Tours,(808) 494-0092,N/A,N/A,Tours-Operators & Promoters,N/A
Kona-Hi.com,(509) 429-8567,N/A,N/A,Buses-Charter & RentalTours-Operators & Promoters,N/A
Epiclava,(808) 345-2263,N/A,N/A,Tours-Operators & Promoters,N/A
Native Guide Hawaii,(808) 982-7575,N/A,N/A,Tourist Information & AttractionsPlaces Of InterestTours-Operators & Promoters,N/A
OWEN'S TAXI & TOUR,(808) 238-9300,N/A,N/A,Tours-Operators & PromotersTransportation Services,N/A
AAAMAREK'S TAXI & TOUR,(808) 333-7797,N/A,N/A,Tours-Operators & PromotersTranslators & InterpretersTaxis,N/A
Diving Bell Scuba,(808) 339-7763,N/A,N/A,Diving InstructionTours-Operators & Promoters,N/A
Big Island Car & Truck Rentals,(808) 557-1614,N/A,N/A,Guide ServiceTours-Operators & PromotersTruck Rental,N/A
Big Island Car & Truck Rentals,(808) 557-1614,N/A,N/A,Guide ServiceCar RentalTruck Rental,N/A
Tamara Tavernier aka Rainbow,(808) 754-5883,N/A,N/A,Tourist Information & AttractionsPlaces Of InterestArts & Crafts Supplies,N/A
My Kona Adventures,(808) 895-8951,N/A,N/A,Tourist Information & AttractionsPlaces Of Interest,N/A
Blue Hawaiian Helicopters - Hilo,(808) 961-5600,N/A,N/A,Sightseeing ToursTours-Operators & PromotersTourist Information & Attractions,N/A
Hilo Bay Tours,(808) 934-9462,N/A,N/A,"Tours-Operators & PromotersAircraft-Charter, Rental & Leasing",N/A
Wwwoutfittershawaiicom,(808) 889-6000,N/A,N/A,Tours-Operators & Promoters,N/A
HiStyle Tours,(808) 854-4973,N/A,N/A,Tours-Operators & Promoters,N/A
Hawai'i Volcanoes National Park,(808) 985-6000,N/A,N/A,Places Of InterestParksTourist Information & Attractions,N/A
Ackerman Galleries,(808) 889-5971,N/A,N/A,"Art Galleries, Dealers & ConsultantsPlaces Of InterestTourist Information & Attractions",N/A
"Xplore Ecuador, LLC",(808) 896-5235,N/A,N/A,Tours-Operators & PromotersReal Estate InvestingTourists' Homes,N/A
Kona Ocean Adventures,(800) 520-2175,N/A,N/A,Boat ToursTourist Information & Attractions,N/A
Bay View Farm,(808) 238-5839,N/A,N/A,Historical PlacesPlaces Of InterestTourist Information & Attractions,
Kuaiwi Farm,(808) 328-8888,N/A,N/A,FarmsSightseeing ToursTours-Operators & Promoters,N/A
Aloha Kayak Co.,(808) 322-2868,N/A,N/A,KayaksBoat ToursTours-Operators & Promoters,N/A
Paleaku Gardens Peace Sanctuary,(808) 328-8084,N/A,N/A,ZoosBotanical GardensPlaces Of Interest,N/A
Kona Coffee Living History Farm,(808) 323-3222,N/A,N/A,MuseumsHistorical PlacesPlaces Of Interest,N/A
Princess Radha Farm,(808) 930-4618,N/A,N/A,Historical PlacesPlaces Of InterestTourist Information & Attractions,N/A
St. Benedict Parish,(808) 328-2227,N/A,N/A,Historical PlacesPlaces Of InterestTourist Information & Attractions,N/A
South Kona Farmers Market,(808) 328-8797,N/A,N/A,Tourist Information & AttractionsPlaces Of Interest,N/A
Amy B.H. Greenwell Ethnobotanical Garden,(808) 323-3318,N/A,N/A,Places Of InterestTourist Information & Attractions,N/A
Kona Kayaks,(808) 987-7282,N/A,N/A,Tourist Information & AttractionsPlaces Of InterestTours-Operators & Promoters,N/A
Mea's Taxi LLC,(808) 229-2161,N/A,N/A,Tourist Information & AttractionsTaxisTours-Operators & Promoters,N/A
