Business Name,Phone,Street Address,Locality,Category,Rating
International Budo Academy,(707) 546-2836,N/A,N/A,Sports Clubs & OrganizationsSporting GoodsMartial Arts Instruction,N/A
Diane Lewis School Of Softball,(562) 269-1775,N/A,N/A,"Sports Clubs & OrganizationsArchitects & Builders ServicesStadiums, Arenas & Athletic Fields",N/A
Strike  3 Baseball Academy,(925) 551-1644,N/A,N/A,Sports Clubs & OrganizationsTourist Information & AttractionsHealth Resorts,N/A
Airborne Gymnastics,(408) 643-0822,N/A,N/A,Sports Clubs & Organizations,N/A
Lone Pine Sporting Goods,(760) 614-2118,N/A,N/A,Sports Clubs & OrganizationsFishing Charters & PartiesCampgrounds & Recreational Vehicle Parks,N/A
McAvoy Yacht Harbor,(925) 458-2568,N/A,N/A,Sports Clubs & OrganizationsMarinasBoat Storage,N/A
Gymstars Gymnastics,(209) 751-5474,N/A,N/A,Sports Clubs & Organizations,
Ontario Ice Skating Center,(909) 986-0793,N/A,N/A,Sports Clubs & OrganizationsSporting GoodsSkating Rinks,N/A
Laguna Seca Golf Ranch,(831) 373-3701,N/A,N/A,Sports Clubs & OrganizationsGolf Equipment & SuppliesSporting Goods,N/A
West Coast Conference,(888) 234-2334,N/A,N/A,Sports Clubs & OrganizationsAssociationsBasketball Clubs,N/A
Touchdown Sports,(661) 663-3358,N/A,N/A,Sports Clubs & OrganizationsCollectiblesClothing Stores,N/A
Big West Conference,(949) 261-2525,N/A,N/A,Sports Clubs & OrganizationsAssociationsBasketball Clubs,N/A
Mountain West Basketball Championships,(415) 391-2744,N/A,N/A,Sports Clubs & OrganizationsBasketball ClubsEvent Ticket Sales,N/A
Game Time Basketball Camps,(805) 729-5539,N/A,N/A,Sports Clubs & OrganizationsCamps-RecreationalBuilding Specialties,N/A
Fairbrae Swim & Tennis Club,(408) 739-3833,N/A,N/A,Sports Clubs & OrganizationsSwimming InstructionSocial Service Organizations,N/A
Mountain View Tennis,(650) 967-5955,N/A,N/A,Sports Clubs & OrganizationsTennis CourtsTennis Courts-Private,N/A
Spare Time Indooor Tennis Center,(916) 668-6775,N/A,N/A,Sports Clubs & OrganizationsTennis CourtsHealth Clubs,
