Business Name,Phone,Street Address,Locality,Category,Rating
"Consolidated Electric Meter Co., Inc.",(703) 650-0574,N/A,N/A,ElectriciansProfessional EngineersConstruction Engineers,N/A
AllWays Electric Corporation,(631) 666-0477,N/A,N/A,ElectriciansSecurity Control Equipment-Wholesale & Manufacturers,N/A
Dave's ELEC Motor & Pump Inc,(212) 982-2930,N/A,N/A,ElectriciansAir Conditioning Service & RepairFireplace Equipment,N/A
Whynn Electric Corp.,(718) 770-7288,N/A,N/A,ElectriciansBuilding ContractorsHeating Equipment & Systems,
Electric Lighting Agency,(212) 645-4580,N/A,N/A,ElectriciansElectric CompaniesElectric Equipment & Supplies-Wholesale & Manufacturers,N/A
H&A NYC Electrician,(646) 351-0882,N/A,N/A,Electricians,N/A
Flemington Electrical Maintenance Inc.,(646) 230-9903,N/A,N/A,Electricians,N/A
Halbro Electric Corporation,(212) 265-7793,N/A,N/A,ElectriciansAutomobile Parts & SuppliesElectric Motors,N/A
Capital Electric Corp,(212) 686-1290,N/A,N/A,ElectriciansElectric Companies,N/A
Tap Electric,(212) 695-4078,N/A,N/A,ElectriciansElectric Companies,N/A
All Star Electrical Service,(212) 268-7827,N/A,N/A,ElectriciansElectric Companies,N/A
S J Electric Inc,(212) 571-1496,N/A,N/A,Electric Companies,N/A
Platinum Electrical Service,(646) 613-0168,N/A,N/A,Electricians,N/A
Welsbach Electric Corp,(212) 228-0026,N/A,N/A,ElectriciansElectric Equipment Repair & ServiceFire Alarm Systems,N/A
Kleinberg Electric Inc,(212) 206-1140,N/A,N/A,ElectriciansElectric Equipment Repair & Service,N/A
O & R Group Inc,(212) 803-5800,N/A,N/A,Electricians,N/A
Electric Finance USA Inc Sumitomo,(212) 490-6610,N/A,N/A,Electricians,N/A
Five Star Electric,(212) 996-1809,N/A,N/A,Electricians,N/A
J & Y Electric & Intercom,(212) 831-5720,N/A,N/A,Electricians,N/A
Jave Electrical Corp Jave Electrical Corp,(212) 740-2689,N/A,N/A,Electricians,N/A
Mr. Bright Electric,(646) 588-0004,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Leader Electric,(212) 665-0600,N/A,N/A,ElectriciansElectric Equipment Repair & ServiceSmoke Detectors & Alarms,
Lee Franklin Electric,(646) 822-0141,N/A,N/A,ElectriciansLighting FixturesWire & Cable-Electric,
Finn Power Energy Corporation,(212) 203-1560,N/A,N/A,Electric Companies,
NY Electricians Net,(877) 668-6695,N/A,N/A,Electricians,
Zwicker Electric,(212) 689-6602,N/A,N/A,Electricians,
Welsh Electric,(646) 871-3051,N/A,N/A,ElectriciansLighting FixturesLighting Contractors,N/A
Robert Chimenti Electrician,(212) 249-2150,N/A,N/A,Electricians,N/A
Advance Electric System New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
New York Electrician For Commercial,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Electrician Service In New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Watney Electrical Services,(646) 871-3784,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Waverly Pl Electricians,(646) 871-3029,N/A,N/A,ElectriciansElectric CompaniesLighting Fixtures,N/A
Light Electric Services Company New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Yuri's Licensed Electricians,(646) 871-3786,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
University Electric,(646) 871-3063,N/A,N/A,ElectriciansElectric CompaniesElectrical Engineers,N/A
New York Advance Electric System,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Willard Electrical Contractor,(646) 822-0191,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Electric Maintenance services New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Levest Electric Corporation,(212) 563-0742,N/A,N/A,ElectriciansElectric Companies,N/A
Electrician For Commercial New York NY,(454) 545-7647,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Electric Maintenance services in New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Soo Electrical,(646) 274-2322,N/A,N/A,ElectriciansElectric CompaniesLighting Fixtures,N/A
Traux & Sons Electric Corp,(646) 274-2756,N/A,N/A,ElectriciansElectric CompaniesElectric Fuses,N/A
New York City Electric Service,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Willie Electrical Corp,(646) 912-6716,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Wolfe Electrical Contractors,(646) 822-0242,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Shaw Electrical Company,(646) 871-3802,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Stephen Electric Co,(646) 884-8997,N/A,N/A,ElectriciansElectric CompaniesLighting Fixtures,N/A
Wagner Electrical Contractors,(646) 274-3614,N/A,N/A,ElectriciansElectric CompaniesElectric Fuses,N/A
Warwick Electricians,(646) 871-3830,N/A,N/A,ElectriciansElectric CompaniesElectric Switchboards,N/A
Electric Service New York NY,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Webster Electrical Company,(646) 871-3755,N/A,N/A,ElectriciansElectric CompaniesElectric Fuses,N/A
New York Light Electric Services Company,(347) 518-1481,N/A,N/A,ElectriciansElectric CompaniesElectric Contractors-Commercial & Industrial,N/A
Metro Electrical Contractors,(347) 559-5216,N/A,N/A,Electric Companies,N/A
"Consolidated Edison Company of New York, Inc.",(212) 460-4600,N/A,N/A,Electric CompaniesGas CompaniesUtility Companies,N/A
Bayard St Electric,(646) 465-7629,N/A,N/A,Electricians,N/A
Skylett Electrician Services,(646) 378-2790,N/A,N/A,ElectriciansElectronic EngineersElectrical Power Systems-Maintenance,N/A
Obrien Electric,(646) 274-4820,N/A,N/A,Electricians,N/A
Hester Street Electric,(646) 274-4250,N/A,N/A,Electricians,N/A
Paul's Licensed Electricians,(646) 465-7666,N/A,N/A,Electricians,N/A
Henry St Electricians,(646) 274-3710,N/A,N/A,Electricians,N/A
Acrey Electrical Services,(646) 871-3064,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Trecks Electric,(646) 871-3787,N/A,N/A,ElectriciansElectrical EngineersLighting Fixtures,N/A
Vito Licensed Electricians,(646) 871-3057,N/A,N/A,ElectriciansElectric Tool RepairLighting Fixtures,N/A
Ave B Electricans,(646) 871-3773,N/A,N/A,Electricians,N/A
Moore Electric Corp,(646) 871-3062,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Public Interest Network Services,(212) 479-1700,N/A,N/A,Electricians,N/A
Knight Electrical Service,(212) 989-2333,N/A,N/A,Electricians,N/A
Brandon's Top Electricians,(646) 871-3028,N/A,N/A,ElectriciansCircuit BreakersSmoke Detectors & Alarms,N/A
James Foster Electrician,(646) 465-7669,N/A,N/A,Electricians,N/A
Plack Electric,(646) 465-7668,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Emanon Electric Inc,(718) 848-2891,N/A,N/A,Electricians,N/A
Malcolm Electric,(646) 822-0196,N/A,N/A,ElectriciansCircuit BreakersElectric Fuses,N/A
Lexington Electric,(646) 871-3042,N/A,N/A,Electricians,N/A
Forest Electric Corp,(212) 318-1500,N/A,N/A,Electricians,N/A
A Davino Electrical,(888) 832-8466,N/A,N/A,"ElectriciansUtilities Underground Cable, Pipe & Wire Locating ServiceWire & Cable-Electric",N/A
8th Ave Electricians,(646) 351-1176,N/A,N/A,Electricians,N/A
Pro-Electric.co,(646) 490-2381,N/A,N/A,Electricians,N/A
2nd Ave Certified Electricians,(646) 378-2793,N/A,N/A,Electricians,N/A
Gaudioso Contracting,(212) 867-8389,N/A,N/A,ElectriciansAltering & Remodeling ContractorsHome Repair & Maintenance,N/A
Johnson Electrical Corp,(646) 465-7682,N/A,N/A,Electricians,N/A
54th St Electric,(646) 465-7677,N/A,N/A,Electricians,N/A
Gunther Certified Electric,(646) 465-7679,N/A,N/A,Electricians,N/A
Vane Electrical,(646) 465-7701,N/A,N/A,Electricians,N/A
Desman Electricians,(646) 465-7678,N/A,N/A,ElectriciansElectric GeneratorsElectric Fuses,N/A
Barbizon Electric Company Incorporated,(212) 586-1620,N/A,N/A,Electricians,N/A
Johnny Horde Electric,(646) 465-7674,N/A,N/A,Electricians,N/A
Claude Electrical,(646) 465-7693,N/A,N/A,Electricians,N/A
Montano Electric,(646) 274-8211,N/A,N/A,ElectriciansLighting Maintenance ServiceLighting Equipment-Emergency,N/A
Townes Electrical Service,(646) 274-8212,N/A,N/A,ElectriciansElectric FusesElectronic Engineers,N/A
Bill's Electricians,(646) 943-8159,N/A,N/A,Electricians,N/A
Carl Martinez Electrical,(646) 274-2595,N/A,N/A,ElectriciansLighting Contractors,N/A
70th St Electric,(646) 274-2767,N/A,N/A,Electricians,N/A
East Side Electrical,(646) 885-6765,N/A,N/A,Electricians,N/A
Bowers Electrical Contractor,(646) 274-3519,N/A,N/A,ElectriciansLighting Maintenance ServiceLighting Equipment-Emergency,N/A
72nd St Electric,(646) 274-1938,N/A,N/A,Electricians,N/A
Shannon Electric,(646) 274-2769,N/A,N/A,ElectriciansElectrical Power Systems-MaintenanceLighting Fixtures,N/A
Blanc Electrical,(646) 943-8153,N/A,N/A,Electricians,N/A
Amsterdam Electric Corp,(646) 943-8154,N/A,N/A,ElectriciansLighting Equipment-EmergencyLighting Contractors,N/A
Jackson Electric,(646) 912-6719,N/A,N/A,Electricians,N/A
Donald McGeachy Inc.,(212) 249-0999,N/A,N/A,Electricians,N/A
Upper West Side Electric,(646) 885-6764,N/A,N/A,Electricians,N/A
Delgado Licensed Electricians,(646) 871-3808,N/A,N/A,Electricians,N/A
Brashear Electric,(646) 871-3788,N/A,N/A,Electricians,N/A
Alves Electrical,(646) 912-6022,N/A,N/A,Electricians,N/A
Hermes Electricians,(646) 884-8994,N/A,N/A,Electricians,N/A
Timmons Electrical Services,(646) 871-3797,N/A,N/A,ElectriciansLighting Maintenance ServiceLighting Fixtures,N/A
Dickson Certified Electricians,(646) 871-3789,N/A,N/A,Electricians,N/A
Broadway Electric,(646) 274-3523,N/A,N/A,Electricians,N/A
Klingman Electrical,(646) 274-5213,N/A,N/A,Electricians,N/A
Semmel Electric,(646) 274-3662,N/A,N/A,ElectriciansLighting FixturesLighting Contractors,N/A
Lou's Electricians,(646) 274-3524,N/A,N/A,Electricians,N/A
96th St Electric,(646) 274-3582,N/A,N/A,Electricians,N/A
100th St Electrical Services,(646) 274-3641,N/A,N/A,ElectriciansLighting Maintenance ServiceLighting Equipment-Emergency,N/A
Cartney Electrical Solutions,(646) 274-5223,N/A,N/A,Electricians,N/A
Elkins Electrical Services,(646) 465-7673,N/A,N/A,Electricians,N/A
Brussle Electricians,(646) 465-7670,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Mike Baker Electricians,(646) 274-3521,N/A,N/A,Electricians,N/A
Diaz Electric,(646) 465-7691,N/A,N/A,Electricians,N/A
1st Ave Electric,(646) 465-7692,N/A,N/A,Electricians,N/A
Flint's Licensed Electricians,(646) 465-7671,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Horry Electrical,(646) 465-7672,N/A,N/A,Electricians,N/A
Lenox Ave Electrical,(646) 871-3490,N/A,N/A,Electricians,N/A
Cantu Licensed Electricians,(646) 871-3066,N/A,N/A,ElectriciansElectric Contractors-Commercial & Industrial,N/A
Riley Electrical Inc,(646) 465-7687,N/A,N/A,Electricians,N/A
Harry Waton Electrical Solutions,(646) 871-3067,N/A,N/A,Electricians,N/A
Hargrove Electricians,(646) 871-3087,N/A,N/A,Electricians,N/A
Carmer Certified Electricians,(646) 452-9358,N/A,N/A,Electricians,N/A
Vara Electrical,(646) 465-7639,N/A,N/A,ElectriciansElectric FusesLighting Maintenance Service,N/A
134th St. Electric,(646) 884-8993,N/A,N/A,Electricians,N/A
Bastian Electricians,(646) 465-7631,N/A,N/A,Electricians,N/A
Berard Electrical Contractors,(646) 465-7626,N/A,N/A,Electricians,N/A
