Business Name,Phone,Street Address,Locality,Category,Rating
Night Life Entertainment,(714) 960-3394,N/A,N/A,Disc JockeysWedding Music & Entertainment,N/A
Night Life Entertainment,(714) 960-3394,N/A,N/A,Disc Jockeys,N/A
Prime Night Tours,(310) 991-3348,N/A,N/A,Entertainment Agencies & BureausNight ClubsBars,
Michoacan Entertainment,(310) 549-0559,N/A,N/A,Night Clubs,N/A
Bottoms Up Bar & Entertainment,(562) 920-2012,N/A,N/A,Night Clubs,N/A
Amigo Entertainment Inc - CLOSED,(323) 923-2100,N/A,N/A,Night Clubs,N/A
Stand Tall Entertainment,(925) 388-6167,N/A,N/A,Family & Business EntertainersEvent Ticket SalesComedy Clubs,N/A
GETDOWN MUSIC ENTERTAINMENT,(909) 770-2472,N/A,N/A,Disc JockeysNight ClubsWedding Music & Entertainment,
Double Universe Entertainment,(916) 752-3987,N/A,N/A,Entertainment Agencies & BureausNight ClubsClothing Stores,N/A
Fantasy Entertainment,(323) 522-4778,N/A,N/A,Night ClubsClubs,N/A
Adina Winters Entertainment,(530) 210-0572,N/A,N/A,Night Clubs,N/A
Five Star Entertainment Group,(310) 860-9662,N/A,N/A,Disc JockeysEntertainment Agencies & BureausFamily & Business Entertainers,N/A
DIAMONDKANDI ENTERTAINMENT INC.,(323) 384-4150,N/A,N/A,Night ClubsMarketing Programs & ServicesMeeting & Event Planning Services,N/A
Rrazz Entertainment West - CLOSED,(415) 292-7817,N/A,N/A,Night Clubs,N/A
Xlanes Family Entertainment Center,(213) 229-8910,N/A,N/A,Family & Business EntertainersAmusement Places & ArcadesBars,N/A
New Style Entertainment,(760) 864-4119,N/A,N/A,Night Clubs,N/A
Dj Stallion Entertainment,(510) 409-8695,N/A,N/A,Disc JockeysNight ClubsWedding Music & Entertainment,N/A
Dj Bebo Entertainment,(714) 656-6547,N/A,N/A,Disc JockeysNight ClubsWedding Music & Entertainment,N/A
Michael D Booker Entertainment,(510) 582-4092,N/A,N/A,Entertainment Agencies & BureausComedy Clubs,N/A
Nasstive Entertainment - Hollywood Club Crawl,(323) 667-6282,N/A,N/A,Night Clubs,
Bottoms Up Bar & Entertainment Inc,(562) 920-2012,N/A,N/A,Night ClubsBars,N/A
L U C I D Entertainment,(415) 663-4413,N/A,N/A,Night Clubs,
The Savoy Entertainment Center,(310) 680-7600,N/A,N/A,Entertainment Agencies & BureausNight ClubsParty & Event Planners,N/A
Sbe Entertainment,(323) 655-8000,N/A,N/A,Night ClubsHotelsRestaurants,N/A
Newport Coastal Adventure,(949) 922-8784,N/A,N/A,Family & Business EntertainersBarsFishing Charters & Parties,
Beyond The Stars Palace,(818) 243-7827,N/A,N/A,Night ClubsTheatresWedding Reception Locations & Services,N/A
Casbah,(619) 232-4355,N/A,N/A,Night ClubsBarsTheatres,N/A
Skin Gentlemen's Club,(310) 838-7546,N/A,N/A,Night ClubsAdult EntertainmentGentlemen's Club,N/A
Ten 15 Club Inc.,(415) 431-8609,N/A,N/A,"Night ClubsTheatresHalls, Auditoriums & Ballrooms",
Think Escape Party Bus,(800) 823-7249,N/A,N/A,Entertainment Agencies & BureausNight ClubsLimousine Service,
