Business Name,Phone,Street Address,Locality,Category,Rating
Villa Como Inc.,(570) 798-2761,N/A,N/A,HotelsRestaurantsItalian Restaurants,N/A
Travel Search,(724) 647-3889,N/A,N/A,HotelsCruisesTravel Agencies,N/A
Keystone Motel,(570) 927-5296,N/A,N/A,HotelsMotels,N/A
Wyalusing Hotel,(570) 721-6199,N/A,N/A,HotelsBarsRestaurants,
Best Western Plus Bradford Inn,(814) 989-1074,N/A,N/A,HotelsLodging,
Double Tree Resort BY Hilton Lancaster,(717) 869-0576,N/A,N/A,HotelsWedding Supplies & ServicesGolf Courses,
Klein's Motel,(610) 929-9431,N/A,N/A,HotelsLodgingMotels,
Patio Court Motel,(215) 536-7000,N/A,N/A,HotelsResortsLodging,N/A
Penn National Golf Club,(717) 352-3000,N/A,N/A,HotelsArchitects & Builders ServicesGolf Course Construction,N/A
Lancaster Arts Hotel,(717) 299-3000,N/A,N/A,HotelsResortsLodging,
Inn at Cemetery Hill,(717) 334-9281,N/A,N/A,HotelsResortsLodging,N/A
Christ Our Shepherd Center,(724) 834-7350,N/A,N/A,HotelsConference & Seminar CoordinatorsAdult Education,N/A
Rider Hill Inn Bed & Breakfast,(814) 398-4249,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,N/A
Golden Triangle Motel,(814) 838-2572,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,
Nickol Steven,(717) 633-1721,N/A,N/A,Hotels,N/A
Best Western,(814) 623-9006,N/A,N/A,HotelsLodging,N/A
Kuhnsville Hotel,(610) 395-2387,N/A,N/A,HotelsLodgingRestaurants,N/A
Park Inn,(610) 439-8414,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,N/A
Wayne Hotel Associates,(610) 254-8435,N/A,N/A,HotelsHotel & Motel ManagementLodging,N/A
Valley Forge Suites,(484) 768-8039,N/A,N/A,Hotels,N/A
Red Carpet Inn,(717) 267-2323,N/A,N/A,HotelsLodgingMotels,N/A
Rock Hotel,(570) 345-3590,N/A,N/A,HotelsRestaurants,N/A
Lookout Motor Lodge,(570) 788-4131,N/A,N/A,HotelsLodgingMotels,
Glass House Inn,(814) 833-7751,N/A,N/A,HotelsBed & Breakfast & InnsMotels,
Chestnut St Inn,(724) 282-8525,N/A,N/A,HotelsBar & GrillsMotels,N/A
Holiday Motel,(724) 627-5600,N/A,N/A,HotelsLodgingMotels,N/A
Dollar Inn,(814) 445-2977,N/A,N/A,HotelsMotelsBed & Breakfast & Inns,N/A
Liberty Travel,(877) 999-2101,N/A,N/A,HotelsSteamship AgenciesCruises,N/A
Liberty Travel,(877) 999-2101,N/A,N/A,HotelsSteamship AgenciesCruises,N/A
The Shawnee Inn and Golf Resort,(570) 424-4000,N/A,N/A,HotelsResortsWedding Chapels & Ceremonies,N/A
Shamrock Inn,(412) 231-2468,N/A,N/A,HotelsBed & Breakfast & InnsRestaurants,N/A
The Harvest Inn,(570) 253-4533,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Fifth Av Hotel,(814) 535-3624,N/A,N/A,HotelsLodging,N/A
Lake Erie Lodge,(814) 833-9855,N/A,N/A,HotelsLodgingResorts,
Holiday Inn Express Philadelphia NE - Bensalem,(215) 245-5222,N/A,N/A,HotelsCorporate LodgingHotel & Motel Consultants,N/A
Courtyard by Marriott,(717) 766-9006,N/A,N/A,HotelsLodgingCorporate Lodging,N/A
Aaron Burr House,(215) 862-2343,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Days Inn by Wyndham Lancaster PA Dutch Country,(717) 390-1800,N/A,N/A,HotelsMotelsLodging,
Hospitality Asset Management Co,(814) 234-2700,N/A,N/A,HotelsHotel & Motel ManagementLodging,N/A
Homewood Suites by Hilton Lansdale,(215) 362-6400,N/A,N/A,HotelsLodgingMotels,N/A
Altoona Grand Hotel,(814) 946-1631,N/A,N/A,Hotels,
Motel 6,(814) 786-8375,N/A,N/A,HotelsMotelsLodging,N/A
Mooney's Motel,(610) 377-5080,N/A,N/A,HotelsMotelsLodging,N/A
Courtyard by Marriott,(610) 687-6633,N/A,N/A,HotelsLodgingCorporate Lodging,N/A
Morris House Hotel,(215) 922-2446,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Microtel Inn & Suites by Wyndham Pittsburgh Airport,(412) 788-7200,N/A,N/A,HotelsLodging,
