Business Name,Phone,Street Address,Locality,Category,Rating
Pebble Spa,(218) 741-5610,N/A,N/A,Day SpasBeauty SalonsMassage Therapists,N/A
Laurentian Divide Salon & Spa,(218) 741-5377,N/A,N/A,Day SpasMassage ServicesBeauty Salons,N/A
Bleu A Salon & Spa,(218) 288-5006,N/A,N/A,Day SpasNail SalonsMassage Therapists,N/A
Mesabi Therapeutic Massage,(218) 741-6031,N/A,N/A,Day SpasMassage Therapists,N/A
A Touch of Serenity,(218) 750-3905,N/A,N/A,Day SpasMassage TherapistsMassage Services,N/A
Plaza Salon & Spa,(218) 550-1015,N/A,N/A,Hair RemovalBody PiercingNail Salons,N/A
Regis Salons,(218) 741-3387,N/A,N/A,Hair StylistsBeauty Salons,
Shear Magic,(218) 741-7667,N/A,N/A,Beauty Salons,N/A
Cost Cutters,(218) 741-2207,N/A,N/A,Beauty SalonsHair Stylists,N/A
Studio On 4th,(218) 741-2624,N/A,N/A,Beauty SalonsHair Stylists,N/A
A Cut Above,(218) 741-6036,N/A,N/A,Hair StylistsBeauty Salons,N/A
A Little Off the Top,(218) 741-2976,N/A,N/A,Beauty Salons,N/A
Artistic Designs Salon,(218) 749-0959,N/A,N/A,Beauty Salons,N/A
Master Stylists Inc,(218) 741-0104,N/A,N/A,Beauty Salons,N/A
Great Clips,(218) 749-2547,N/A,N/A,Hair StylistsBeauty SalonsHair Supplies & Accessories,N/A
Laurentian Divide Salon & Spa,(218) 741-5377,N/A,N/A,Day SpasBeauty SalonsCosmetologists,N/A
A Touch of Plasch,(218) 514-4221,N/A,N/A,Day SpasHair StylistsHair Supplies & Accessories,N/A
Twin Ports Dermatology,(218) 524-4002,N/A,N/A,Day SpasHealth ResortsMedical Spas,N/A
Laurentian Divide Salon & Spa at Giants Ridge,(218) 865-7100,N/A,N/A,Day SpasBeauty SalonsMassage Services,N/A
La Bella Vita Spalon,(218) 753-4101,N/A,N/A,Day SpasBeauty SalonsCosmetologists,N/A
Oasis Tan,(218) 865-4717,N/A,N/A,Day SpasTanning SalonsHealth Clubs,N/A
Heather Halverson Massage,(218) 969-8689,N/A,N/A,Day SpasMassage Services,N/A
SmartStyle,(218) 741-9393,N/A,N/A,Beauty SalonsHair Stylists,N/A
Classy Cuts,(218) 288-0567,N/A,N/A,Hair StylistsBeauty SalonsNail Salons,N/A
Hair Force One,(218) 744-0111,N/A,N/A,Beauty SalonsHair Stylists,N/A
Full Range of Beauty,(218) 744-1786,N/A,N/A,Beauty Salons,N/A
Classy Cuts,(218) 288-0776,N/A,N/A,Hair StylistsBeauty Salons,N/A
Curl & Clip Beauty Barber Shop,(218) 744-5006,N/A,N/A,BarbersBeauty Salons,N/A
Broadway Salon,(218) 741-2992,N/A,N/A,Beauty SalonsBarbers,N/A
Head First Salon,(218) 744-4549,N/A,N/A,Beauty Salons,N/A
Leseman Tim & Karlene,(218) 744-1686,N/A,N/A,Beauty Salons,N/A
Karlene's West Eveleth Family HR,(218) 744-1686,N/A,N/A,Beauty Salons,N/A
Tan Tonics,(218) 216-9102,N/A,N/A,Tanning SalonsBeauty Salons,N/A
Hair Gallery,(218) 865-6167,N/A,N/A,Beauty SalonsHair Stylists,N/A
Styles By Sandy,(218) 258-2205,N/A,N/A,Beauty Salons,N/A
Diamond Cuts,(218) 229-3691,N/A,N/A,Beauty Salons,N/A
Vermilion Shear Image,(218) 753-2928,N/A,N/A,Beauty Salons,N/A
Oasis Tan,(218) 865-4717,N/A,N/A,Massage ServicesTanning SalonsPhysical Therapists,N/A
Cutting Edge Hair Salon,(218) 229-3100,N/A,N/A,Beauty SalonsHair Stylists,N/A
Karla's Beauty Boutique,(218) 229-0959,N/A,N/A,Boutique ItemsBeauty SalonsWomen's Clothing,N/A
Brozzo Mary Lous,(218) 229-3863,N/A,N/A,Beauty Salons,N/A
New Edition,(218) 254-5511,N/A,N/A,Beauty Salons,N/A
Northwoods Salon & Tanning,(218) 254-5909,N/A,N/A,Tanning SalonsBeauty Salons,N/A
Hair Works,(218) 254-4861,N/A,N/A,Beauty SalonsHair Stylists,N/A
Rosemarys Beauty Parlour,(218) 254-3174,N/A,N/A,Beauty Salons,N/A
Electric  Chair Salon The,(218) 262-9909,N/A,N/A,Cosmetic ServicesPermanent Make-UpBeauty Supplies & Equipment,N/A
EZ Excavating,(218) 504-4101,N/A,N/A,Gas Lines-Installation & RepairingLodgingMotels,N/A
Grand Ely Lodge,(218) 504-4081,N/A,N/A,Masonry ContractorsCarpet & Rug DealersCarpet & Rug Cleaners,
Joe's Marine and Repair Inc,(218) 504-4091,N/A,N/A,Churches & Places of WorshipHair StylistsCarpet & Rug Repair,N/A
Uptown Hairstyling of Angel Nails,(218) 879-7719,N/A,N/A,Beauty SalonsBarbersHair Stylists,
Shawn's Salon Associates,(218) 728-9664,N/A,N/A,Hair StylistsNail SalonsBeauty Salons,
