Business Name,Phone,Street Address,Locality,Category,Rating
Page One - CLOSED,N/A,N/A,N/A,Paging & Signaling Equipment,N/A
Criminal Lawyer 1,(646) 867-1873,N/A,N/A,Attorneys,N/A
Trial 1 Inc,(212) 406-1600,N/A,N/A,Attorneys,N/A
First M E Atty,(212) 566-3555,N/A,N/A,Attorneys,N/A
1st Deputy,(646) 610-5420,N/A,N/A,Attorneys,N/A
State of Ny Asmblymn Mental Hygiene Legal Service First Judicial Dept,(646) 386-5891,N/A,N/A,Legal Service PlansAttorneys,N/A
First Toronto Group,(917) 368-8105,N/A,N/A,Attorneys,N/A
First Candice,(212) 977-9700,N/A,N/A,Sexual Harassment AttorneysAttorneysFamily Law Attorneys,N/A
The Gilbert On First,(212) 369-4831,N/A,N/A,Attorneys,N/A
One Equity Chambers,(646) 401-0027,N/A,N/A,International Law AttorneysAttorneys,N/A
First World Immigration Svcs,(212) 244-1872,N/A,N/A,Immigration Law AttorneysAttorneysLegal Service Plans,N/A
First Class Wireless,(212) 239-1933,N/A,N/A,Cellular Telephone Equipment & SuppliesWireless Communication,N/A
One Stop Shop,(212) 858-9489,N/A,N/A,Cellular Telephone Service,N/A
One Stop Tel,(212) 444-3003,N/A,N/A,Cellular Telephone ServiceTelecommunications-Equipment & Supply,N/A
Wireless One NY,(212) 737-4200,N/A,N/A,Cellular Telephone Service,N/A
Verizon Wireless Authorized Retailer - Victra NYC 1314 1st Ave,(855) 805-5100,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & SystemsCellular Telephone Equipment & Supplies,N/A
101 Wireless One Inc,(212) 280-3300,N/A,N/A,Cellular Telephone Equipment & Supplies,N/A
U 1 Communications Wholesales,(212) 608-1988,N/A,N/A,Cellular Telephone Equipment & Supplies,N/A
One Stop Wireless,(212) 463-9999,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & Service,N/A
Sunny Wireless One,(212) 684-2515,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & ServiceCellular Telephone Equipment & Supplies,N/A
One World Wireless Inc,(212) 582-2727,N/A,N/A,Cellular Telephone ServiceWireless Communication,N/A
Wireless One of NYC,(212) 303-0000,N/A,N/A,Cellular Telephone ServiceCellular Telephone Equipment & Supplies,N/A
High Tech One Forty Seven,(646) 669-8187,N/A,N/A,Telephone Equipment & Systems-Repair & ServiceCellular Telephone Equipment & Supplies,N/A
One Stop Wireless,(212) 927-9100,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & ServiceTelephone Companies,N/A
First Choice Paging,(201) 626-3566,N/A,N/A,Paging & Signaling Equipment,N/A
Page One Electronics Co,(201) 432-8111,N/A,N/A,Cellular Telephone Service,N/A
First Choice Beepers,(718) 346-6724,N/A,N/A,Paging & Signaling Equipment,N/A
Page 1 Construction,(347) 350-5297,N/A,N/A,General ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,N/A
First Page Solutions Inc,(718) 761-2569,N/A,N/A,Internet Marketing & AdvertisingAdvertising AgenciesMarketing Consultants,N/A
First Page System,(347) 492-3000,N/A,N/A,Advertising-Aerial,N/A
Page 2 Cell,(212) 488-1600,N/A,N/A,Telecommunications-Equipment & Supply,N/A
Two Hustlers,(646) 370-1180,N/A,N/A,Attorneys,N/A
Wave 2 Wave,(212) 536-7990,N/A,N/A,Legal Service PlansAttorneys,N/A
East 82,(212) 452-1027,N/A,N/A,Attorneys,N/A
Ig Second Generation Partners LP,(212) 234-4126,N/A,N/A,Attorneys,N/A
Two Twelve Associates Inc,(212) 254-6670,N/A,N/A,Attorneys,N/A
Mobile Guru 2,(212) 321-0362,N/A,N/A,Cellular Telephone ServiceCommunications ServicesTelecommunications Services,
Wireless on 72nd,(212) 362-6063,N/A,N/A,Cellular Telephone Equipment & SuppliesCellular Telephone Service,N/A
Blue 2 Communication,(212) 334-5356,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & Service,N/A
West 72nd Street Wireless,(212) 799-3513,N/A,N/A,Wireless Communication,N/A
2nd Ave Wireless Inc,(646) 869-0435,N/A,N/A,Wireless Communication,N/A
Fast Page 2 Inc,(718) 205-7243,N/A,N/A,Wireless Communication,N/A
Region Two Brooklyn U S Attorneys,(718) 254-7499,N/A,N/A,General Practice AttorneysAttorneys,N/A
February Twenty Two,(718) 222-1003,N/A,N/A,Attorneys,N/A
Galo Churrasqueira 2,(718) 433-9408,N/A,N/A,Attorneys,N/A
