Business Name,Phone,Street Address,Locality,Category,Rating
La Moda Salon & Day Spa,N/A,N/A,N/A,Day SpasSkin CareNail SalonsHair StylistsBeauty SalonsHealth Resorts,
Showstoppers Lash and Spa,(409) 229-7843,N/A,N/A,Day Spas,N/A
Extreme Hair Growth,(832) 454-3305,N/A,N/A,Day SpasCosmetics & Perfumes,N/A
Total Technique Salon,(409) 945-9542,N/A,N/A,Day SpasBeauty SalonsMake-Up Artists,
Zel's Massage & Fitness Zone,(409) 789-7883,N/A,N/A,Day SpasMassage ServicesSkin Care,N/A
Paradise Nails,(409) 948-8522,N/A,N/A,Day SpasNail SalonsBeauty Salons,N/A
BRAIDS BY CANDISS,(409) 526-5800,N/A,N/A,Hair BraidingBeauty SalonsCosmetologists,
Silky Hair,(409) 359-3308,N/A,N/A,Beauty SalonsHair Stylists,
Glitz Nails Hair & Spa,(409) 797-4424,N/A,N/A,Beauty SalonsNail SalonsHair Stylists,
TGF Hair Salon,(409) 945-4800,N/A,N/A,Beauty SalonsHair RemovalHair Stylists,
College of the Mainland,(409) 933-8480,N/A,N/A,Beauty SalonsHair WeavingDepartment Stores,N/A
Cuts on the Move Barbershop,(409) 229-7683,N/A,N/A,BarbersBeauty Salons,N/A
Cutsonthemove,(409) 497-7626,N/A,N/A,Beauty SalonsBarbers Equipment & SuppliesBarbers,N/A
Blush & Beauty,(409) 599-7252,N/A,N/A,Beauty Salons,N/A
Great Clips,(409) 229-1732,N/A,N/A,Hair StylistsBeauty SalonsHair Supplies & Accessories,N/A
Silvia's,(409) 995-0775,N/A,N/A,Beauty Salons,N/A
Carmen's Barber & Beauty Shop,(409) 945-9815,N/A,N/A,BarbersBeauty Salons,N/A
New Technique,(409) 945-9996,N/A,N/A,Beauty Salons,N/A
Hair Solutions Salon,(409) 938-3341,N/A,N/A,Beauty Salons,N/A
Irma's Hair Innovations & Styling Center,(409) 945-5288,N/A,N/A,Hair StylistsBeauty Salons,N/A
The Avenue Cuts,(409) 948-2223,N/A,N/A,Beauty Salons,N/A
Celinas Salon and Boutique,(409) 945-4371,N/A,N/A,Beauty Salons,N/A
Envy Hair Salon,(409) 945-7975,N/A,N/A,Beauty SalonsHair Stylists,N/A
Beauty Spot,(409) 941-0400,N/A,N/A,Beauty Salons,N/A
Fascination Beauty Salon,(409) 948-1091,N/A,N/A,Beauty Salons,N/A
Gonzo's Family Hair Care,(409) 938-4055,N/A,N/A,BarbersBeauty Salons,N/A
Sebring Salon,(409) 933-0144,N/A,N/A,Beauty Salons,N/A
