Business Name,Phone,Street Address,Locality,Category,Rating
BG 's,(218) 741-0512,N/A,N/A,RestaurantsBarbecue RestaurantsBars,
Adventures Restaurant & Pub,(218) 741-7151,N/A,N/A,RestaurantsAmerican RestaurantsBars,
Sawmill Saloon Restaurant,(218) 741-8681,N/A,N/A,RestaurantsAmerican RestaurantsPizza,
Grandma's Saloon & Grill,(218) 749-1960,N/A,N/A,RestaurantsAmerican RestaurantsBars,N/A
Village Inn,(218) 749-8289,N/A,N/A,"RestaurantsAmerican RestaurantsBreakfast, Brunch & Lunch Restaurants",
Dave's Pizza,(218) 741-3283,N/A,N/A,RestaurantsPizzaItalian Restaurants,
Mels Sportspage Bar,(218) 741-0461,N/A,N/A,RestaurantsBarbecue RestaurantsBars,
The Shack,(218) 741-5477,N/A,N/A,RestaurantsBarbecue RestaurantsBars,
Hometown Electric,(218) 744-0444,N/A,N/A,RestaurantsBuffet RestaurantsAmerican Restaurants,N/A
Mirage Bar,(218) 248-8372,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Loonie's Coffee Shop,(218) 248-8048,N/A,N/A,RestaurantsAmerican Restaurants,N/A
The 218,(218) 749-1009,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Milestones,(218) 741-2234,N/A,N/A,RestaurantsBarbecue RestaurantsBar & Grills,N/A
Wing Street,(218) 749-4111,N/A,N/A,RestaurantsAmerican RestaurantsTake Out Restaurants,N/A
Arrowhead Bar,(218) 741-2100,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
North Gate Cafe & Catering,(218) 749-4043,N/A,N/A,RestaurantsCoffee ShopsFamily Style Restaurants,N/A
Jue's Chinese Restaurant & Lounge,(218) 741-7695,N/A,N/A,RestaurantsChinese RestaurantsBuffet Restaurants,
Riders On Main,(218) 741-5700,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
La Cocina & Cantina,(218) 749-8226,N/A,N/A,RestaurantsMexican RestaurantsAmerican Restaurants,
Start Fresh Diner,(218) 741-9116,N/A,N/A,Restaurants,N/A
Saigon Cafe,(218) 741-6465,N/A,N/A,RestaurantsVietnamese Restaurants,
Royal Cafe,(218) 741-6282,N/A,N/A,RestaurantsCoffee ShopsTake Out Restaurants,
Papa Murphy's | Take 'N' Bake Pizza,(218) 741-7272,N/A,N/A,RestaurantsPizzaTake Out Restaurants,
Cazadores Restaurant,(218) 741-5119,N/A,N/A,RestaurantsMexican Restaurants,
Caribou Coffee,(218) 305-4293,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee & Tea,N/A
Garcia's Mexican Restaurant,(218) 741-2828,N/A,N/A,Restaurants,N/A
The Whisteling Bird,(218) 741-7544,N/A,N/A,Restaurants,N/A
Peet's Coffee & Tea,(218) 741-3229,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee & Tea,N/A
The Freeze,(218) 741-2663,N/A,N/A,Restaurants,N/A
Vista North Inc,(218) 741-4404,N/A,N/A,Restaurants,N/A
Pizza Hut Express,(218) 741-7104,N/A,N/A,RestaurantsPizzaTake Out Restaurants,N/A
Sunny's Deli,(218) 741-2334,N/A,N/A,RestaurantsDelicatessens,N/A
Hut Pizza,(218) 749-4111,N/A,N/A,RestaurantsPizza,N/A
Kountry Krossroads,(218) 749-5355,N/A,N/A,Restaurants,N/A
Plaza Bowl,(218) 749-2421,N/A,N/A,RestaurantsPizza,N/A
Bene Vuto,(218) 749-0898,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Jammer's Cafe,(218) 749-3205,N/A,N/A,RestaurantsCoffee ShopsTake Out Restaurants,
Starbucks Coffee,(218) 741-6603,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee & Tea,N/A
New China Buffet,(218) 749-3663,N/A,N/A,RestaurantsBuffet Restaurants,
Poor Gary's Pizza,(218) 741-8232,N/A,N/A,RestaurantsPizza,
Little Gourmet Deli,(218) 749-1041,N/A,N/A,RestaurantsDelicatessensCaterers,N/A
Mel's Sportspage Bar & Snickers Pizza Shop,(218) 741-8232,N/A,N/A,RestaurantsPizzaAmerican Restaurants,N/A
Subway,(218) 741-8655,N/A,N/A,RestaurantsFast Food RestaurantsSandwich Shops,N/A
Other Guys Burgers,(218) 749-0856,N/A,N/A,RestaurantsAmerican RestaurantsFast Food Restaurants,N/A
Dairy Queen (Treat) - Seasonally Closed,(218) 749-1495,N/A,N/A,RestaurantsFast Food RestaurantsIce Cream & Frozen Desserts,
Kfc,(218) 741-2211,N/A,N/A,RestaurantsFast Food RestaurantsChicken Restaurants,N/A
Domino's Pizza,(218) 741-3030,N/A,N/A,RestaurantsPizzaTake Out Restaurants,N/A
Hardee's,(218) 741-0200,N/A,N/A,RestaurantsFast Food RestaurantsHamburgers & Hot Dogs,N/A
McDonald's,(218) 749-4720,N/A,N/A,RestaurantsFast Food RestaurantsHamburgers & Hot Dogs,
Arby's,(218) 741-2166,N/A,N/A,RestaurantsFast Food Restaurants,N/A
Italian Bakery of Virginia,(218) 741-3464,N/A,N/A,RestaurantsBakeriesAmerican Restaurants,
Benvenuto Catering,(218) 749-0898,N/A,N/A,RestaurantsCaterersBartending Service,N/A
Flaimer's,(218) 749-6802,N/A,N/A,RestaurantsSports BarsBar & Grills,N/A
Poppers Bar,(218) 741-5144,N/A,N/A,RestaurantsBar & GrillsBars,N/A
Northern Divide,(218) 748-7534,N/A,N/A,RestaurantsBarsBrew Pubs,N/A
Frank's Bar,(218) 741-7761,N/A,N/A,RestaurantsBarsCocktail Lounges,N/A
Pep's Bake Shop,(218) 741-7218,N/A,N/A,RestaurantsBakeries,N/A
Sugar Shack,(218) 288-6225,N/A,N/A,RestaurantsBakeriesPizza,N/A
Wandering Pines Eatery and Pub,(218) 749-1657,N/A,N/A,RestaurantsSeafood RestaurantsBars,N/A
Boomtown Woodfire,(218) 248-8381,N/A,N/A,RestaurantsAmerican RestaurantsBars,N/A
Benvenuto Catering,(218) 749-0898,N/A,N/A,RestaurantsCaterersBartending Service,N/A
Flaimer's,(218) 749-6802,N/A,N/A,RestaurantsSports BarsBar & Grills,N/A
Poppers Bar,(218) 741-5144,N/A,N/A,RestaurantsBar & GrillsBars,N/A
Northern Divide,(218) 748-7534,N/A,N/A,RestaurantsBarsBrew Pubs,N/A
Frank's Bar,(218) 741-7761,N/A,N/A,RestaurantsBarsCocktail Lounges,N/A
Pep's Bake Shop,(218) 741-7218,N/A,N/A,RestaurantsBakeries,N/A
Sugar Shack,(218) 288-6225,N/A,N/A,RestaurantsBakeriesPizza,N/A
Wandering Pines Eatery and Pub,(218) 749-1657,N/A,N/A,RestaurantsSeafood RestaurantsBars,N/A
Boomtown Woodfire,(218) 248-8381,N/A,N/A,RestaurantsAmerican RestaurantsBars,N/A
Mudders Place,(218) 741-1400,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Range Restaurant Inc,(218) 288-1548,N/A,N/A,RestaurantsFamily Style Restaurants,N/A
The Alibi,(218) 741-9633,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Roosevelt Bar,(218) 744-2121,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Perkins Restaurant & Bakery,(218) 741-3325,N/A,N/A,RestaurantsAmerican RestaurantsFamily Style Restaurants,N/A
Snickers Pizza Shop - Eveleth,(218) 744-5909,N/A,N/A,RestaurantsPizzaBars,
Goodfellas Bar & Restaurant,(218) 744-5360,N/A,N/A,RestaurantsFamily Style Restaurants,N/A
Champs Chicken,(218) 529-1650,N/A,N/A,RestaurantsChicken RestaurantsBarbecue Restaurants,N/A
Billy's Bar,(218) 258-3689,N/A,N/A,RestaurantsBarbecue RestaurantsBar & Grills,N/A
R Bar,(218) 865-7000,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Timbers Edge Grill and Bar,(218) 744-2627,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Neighbor's BBQ Co.,(218) 865-1005,N/A,N/A,RestaurantsBarbecue Restaurants,N/A
The Oasis,(218) 741-8776,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Valentini's Supper Club,(218) 293-4573,N/A,N/A,RestaurantsBarsBanquet Halls & Reception Facilities,N/A
Megan's Family Restaurant,(218) 229-3418,N/A,N/A,RestaurantsAmerican RestaurantsFamily Style Restaurants,N/A
Tommy's Bar,(218) 254-4367,N/A,N/A,RestaurantsBarbecue RestaurantsBar & Grills,
Good Ol Days Bar & Grill,(218) 753-6097,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Slovenski Dom,(218) 254-8048,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Snickers Pizza & Pub,(218) 254-2317,N/A,N/A,RestaurantsPizzaBars,
Big Guy's Bar,(218) 229-2456,N/A,N/A,RestaurantsBarbecue RestaurantsBars,N/A
Black Diamond Bar,(218) 865-4700,N/A,N/A,RestaurantsBarbecue RestaurantsCocktail Lounges,N/A
Black Bear Diner,(218) 749-2460,N/A,N/A,"RestaurantsAmerican RestaurantsBreakfast, Brunch & Lunch Restaurants",N/A
Iron Kettle Family Restaurant,(218) 254-0081,N/A,N/A,RestaurantsFamily Style Restaurants,N/A
The Whistling Bird,(218) 741-5030,N/A,N/A,RestaurantsCaribbean Restaurants,
Penalty Box,(218) 744-4560,N/A,N/A,Restaurants,N/A
Nick's Bar,(218) 749-4136,N/A,N/A,RestaurantsBars,N/A
Memory Lane,(218) 749-8402,N/A,N/A,RestaurantsCoffee Shops,N/A
Candy's Land Of Eveleth Inc,(218) 263-5780,N/A,N/A,Restaurants,N/A
Eveleth Country Foods IGA,(218) 744-4350,N/A,N/A,RestaurantsGrocery Stores,N/A
Poor Gary's Pizza Of Eveleth,(218) 744-5508,N/A,N/A,Restaurants,
Vertins Cafe,(218) 365-6718,N/A,N/A,RestaurantsCoffee Shops,N/A
Vi's Pizza,(218) 865-4164,N/A,N/A,RestaurantsPizza,
Super One Foods,(218) 865-6702,N/A,N/A,RestaurantsGrocery Stores,N/A
Peet's Coffee & Tea,(218) 865-6702,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee & Tea,N/A
Britt Lounge & Cafe,(218) 741-2035,N/A,N/A,Restaurants,N/A
Wacootah Grille,(218) 865-8045,N/A,N/A,Restaurants,N/A
Billys Pit Stop Pub N Grub,(218) 258-3689,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Poor Gary's Pizza & Subs,(218) 865-7036,N/A,N/A,RestaurantsPizza,N/A
Poor Garys Pizza,(218) 865-7036,N/A,N/A,RestaurantsPizza,N/A
Adventure's Restaurant & Pub,(218) 741-7151,N/A,N/A,RestaurantsBars,N/A
The Wooden Table Inn,(218) 741-9954,N/A,N/A,Restaurants,N/A
The Ranger Cafe,(218) 254-0044,N/A,N/A,RestaurantsCoffee Shops,N/A
Choppy's Pizza,(218) 254-5777,N/A,N/A,RestaurantsPizza,N/A
The Stand,(218) 254-5651,N/A,N/A,RestaurantsTake Out RestaurantsRestaurant Delivery Service,N/A
Ely Community Pharmacy,(218) 504-4026,N/A,N/A,RestaurantsLoansStone Products,
Brandau Plumbing and Heating,(218) 504-4071,N/A,N/A,RestaurantsHome Health ServicesAutomobile Body Repairing & Painting,N/A
A&W All-American Food,(218) 229-2240,N/A,N/A,RestaurantsFast Food RestaurantsAmerican Restaurants,
Subway,(218) 741-5184,N/A,N/A,RestaurantsFast Food RestaurantsSandwich Shops,N/A
Subway,(218) 744-2673,N/A,N/A,RestaurantsFast Food RestaurantsSandwich Shops,N/A
Subway,(218) 865-4182,N/A,N/A,RestaurantsFast Food RestaurantsSandwich Shops,N/A
McDonald's,(218) 254-4227,N/A,N/A,RestaurantsFast Food RestaurantsHamburgers & Hot Dogs,
Subway,(218) 254-3201,N/A,N/A,RestaurantsFast Food RestaurantsSandwich Shops,N/A
The Rink Sports Bar & Grill,(218) 248-8582,N/A,N/A,RestaurantsBar & GrillsBars,N/A
Amy's Bar,(218) 741-2150,N/A,N/A,RestaurantsBar & GrillsBars,N/A
Red Garter Lounge & Outdoor Volleyball,(218) 744-1741,N/A,N/A,RestaurantsTavernsBar & Grills,N/A
Alberto's Noodles,(218) 254-4743,N/A,N/A,RestaurantsPastaItalian Restaurants,N/A
