Business Name,Phone,Street Address,Locality,Category,Rating
Kahiko Arts,(808) 212-4169,N/A,N/A,Interior Designers & DecoratorsHome ImprovementsPainting Contractors,N/A
Batavia Design Group,(808) 430-6463,N/A,N/A,Interior Designers & Decorators,N/A
Hawaii Grenn Building & Decorating Centers,(808) 324-7744,N/A,N/A,Home Decor,N/A
Living Interiors,(808) 331-3090,N/A,N/A,Interior Designers & DecoratorsLiving Plant Rental & Leasing,N/A
Fowler Finishes Custom Painting,(808) 896-6772,N/A,N/A,Interior Designers & DecoratorsPainting ContractorsHome Improvements,N/A
island building services,(808) 747-4661,N/A,N/A,Interior Designers & DecoratorsDrafting ServicesArchitectural Designers,N/A
Creative Greenery Interior Plantscaping,(808) 322-3527,N/A,N/A,Interior Designers & Decorators,N/A
Chesnut Peggy & Co Inc,(808) 322-7878,N/A,N/A,Interior Designers & Decorators,N/A
Chesnut Peggy & Co Inc,(808) 322-7878,N/A,N/A,Interior Designers & Decorators,N/A
Day Jennifer Asid,(808) 329-7575,N/A,N/A,Interior Designers & Decorators,N/A
Painting Kona Homes,(808) 895-5187,N/A,N/A,Interior Designers & DecoratorsDrywall ContractorsHome Improvements,N/A
Pier 1 Imports,(808) 329-2581,N/A,N/A,Home DecorBasketsDecorative Ceramic Products,N/A
Pacific Islands Design,(808) 324-7866,N/A,N/A,Interior Designers & Decorators,N/A
Zylstra Interior Design Inc,(808) 327-0088,N/A,N/A,Interior Designers & Decorators,N/A
Henderson Design Group,(808) 747-7127,N/A,N/A,Interior Designers & Decorators,N/A
Plantation Interiors,(808) 329-7082,N/A,N/A,Interior Designers & Decorators,N/A
Aloha Blinds & Interiors,(808) 326-2800,N/A,N/A,"Interior Designers & DecoratorsShuttersDraperies, Curtains & Window Treatments",N/A
