Business Name,Phone,Street Address,Locality,Category,Rating
Beauty,(646) 882-0081,N/A,N/A,Beauty Salons,N/A
Beauty,(646) 692-3045,N/A,N/A,Beauty Salons,N/A
Beauty,(646) 912-9211,N/A,N/A,Beauty Salons,N/A
Beauty,(917) 261-2926,N/A,N/A,Beauty Salons,N/A
La Mer,(929) 223-6585,N/A,N/A,Beauty Supplies & EquipmentCosmetics & PerfumesHealth & Wellness Products,N/A
Darphin,(646) 835-2244,N/A,N/A,Beauty Supplies & EquipmentCosmetics & Perfumes,N/A
Mac Cosmetics,(917) 983-9876,N/A,N/A,Beauty Supplies & EquipmentCosmetics & PerfumesSkin Care,
Estee Lauder Inc,(347) 732-3069,N/A,N/A,Beauty Supplies & EquipmentSkin CareCosmetics-Wholesale & Manufacturers,N/A
Sean John Fragrances,(929) 223-6540,N/A,N/A,Beauty Supplies & EquipmentCosmetics & Perfumes,N/A
Estee Lauder Companies,(929) 352-1480,N/A,N/A,Beauty Supplies & EquipmentSkin CareCosmetics & Perfumes,N/A
Jo Malone Inc,(929) 352-7618,N/A,N/A,Beauty Supplies & EquipmentInternet Marketing & AdvertisingInternet Products & Services,N/A
Bobbi Brown Cosmetics,(929) 252-0283,N/A,N/A,Beauty Supplies & EquipmentCosmetics & Perfumes,N/A
Tom Ford Beauty,(929) 352-7653,N/A,N/A,Beauty Supplies & EquipmentGeneral MerchandiseSkin Care,N/A
Donna Karan Cosmetics,(929) 223-6594,N/A,N/A,Beauty Supplies & EquipmentSkin CareCosmetics & Perfumes,N/A
Giovanni Sacchi Hair Salon,(212) 360-5557,N/A,N/A,Beauty SalonsNail SalonsHair Weaving,N/A
Jojo Concepts Hair Replacement,(844) 919-5437,N/A,N/A,Beauty SalonsHair WeavingHair Replacement,N/A
New Paradise Men's Spa,(844) 389-8218,N/A,N/A,Day SpasMassage Services,
Bumble & Bumble,(646) 835-0208,N/A,N/A,Beauty SalonsNail SalonsBeauty Supplies & Equipment,N/A
Michael Kors,(929) 223-6499,N/A,N/A,Clothing StoresBeauty Supplies & EquipmentWomen's Clothing,N/A
Origins Natural Resources Inc,(929) 223-6567,N/A,N/A,Beauty Supplies & EquipmentSkin CareCosmetics & Perfumes,N/A
Ali Cuajao Makeup,(707) 200-8612,N/A,N/A,Beauty SalonsWedding Supplies & ServicesTheatrical Make-Up,N/A
Verb Products,(646) 767-6007,N/A,N/A,Beauty Supplies & Equipment,N/A
Beauty & Youth Village Spa,(212) 463-0246,N/A,N/A,Beauty SalonsDay SpasHair Removal,
Fabio Doti Salon,(917) 261-6865,N/A,N/A,Beauty SalonsColor ConsultantsHair Stylists,
Wellington Hair Spa,(212) 206-7962,N/A,N/A,Beauty SalonsHair StylistsDay Spas,
Marc Joseph,(212) 391-6699,N/A,N/A,Beauty SalonsNail SalonsHair Braiding,
Elia Salon,(212) 316-3100,N/A,N/A,Beauty SalonsHair Stylists,
Concept Salon Ltd,(212) 644-6366,N/A,N/A,Beauty SalonsHair StylistsDay Spas,N/A
Carol's Uptown Hair Design,(212) 491-6879,N/A,N/A,Beauty SalonsHair Stylists,N/A
Hair Care Harmony,(201) 653-1953,N/A,N/A,Beauty Salons,N/A
Sanat Hair Salon,(212) 861-0240,N/A,N/A,Beauty SalonsMake-Up ArtistsHair Stylists,
La Bellisima Sasha Hair,(646) 590-2273,N/A,N/A,Beauty SalonsDay SpasHair Supplies & Accessories,
Salon O2,(212) 675-7274,N/A,N/A,Beauty SalonsHair BraidingCosmetologists,N/A
Hair Fairies,(212) 719-5222,N/A,N/A,Beauty SalonsHair Stylists,N/A
Locks 'N Chops,(212) 244-2306,N/A,N/A,Beauty Salons,N/A
Onyx-And-Jade-Salon,(212) 382-3773,N/A,N/A,Beauty Salons,N/A
Red Chair Studio,(212) 369-0958,N/A,N/A,Beauty SalonsHair Stylists,N/A
Metro II Hair Studio,(212) 222-0096,N/A,N/A,Beauty SalonsHair Stylists,N/A
Agape Beauty Salon,(212) 662-3060,N/A,N/A,Beauty Salons,N/A
Hair Design By Oumou,(212) 360-6262,N/A,N/A,Beauty SalonsHair WeavingHair Stylists,
Touch Of Beauty,(212) 517-3131,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Mane Advocates,(212) 279-6263,N/A,N/A,Beauty SalonsHair Stylists,N/A
Dreadlocks By Randi,(917) 468-4040,N/A,N/A,Beauty Salons,
Misin Shin Salon,(212) 228-9977,N/A,N/A,Beauty Salons,N/A
Fabio Scalia Salon - Brooklyn,(718) 855-5777,N/A,N/A,Beauty SalonsHair WeavingHair Stylists,N/A
Bellisima Hair Designs,(212) 230-1899,N/A,N/A,Beauty SalonsHair Stylists,N/A
Studio Twelve Hair Designers,(201) 798-7090,N/A,N/A,Beauty Salons,
Blondi's Hair Salon,(212) 249-0890,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Sam & Chris Hair Salon,(212) 873-6868,N/A,N/A,Beauty SalonsDay SpasNail Salons,N/A
Rafaels Hair & Beauty Studio,(212) 221-8555,N/A,N/A,Beauty SalonsBarbers,N/A
Xquisite Color & Cuts,(201) 253-0811,N/A,N/A,Beauty Salons,N/A
Tommy-Guns-Ny-Hair-Salons,(212) 477-1151,N/A,N/A,Beauty SalonsCosmetologistsHair Stylists,N/A
Paul Labrecque,(212) 988-7816,N/A,N/A,Beauty SalonsCosmetologistsHair Removal,N/A
Om Threading Salon,(212) 213-6743,N/A,N/A,Beauty SalonsDay SpasHair Removal,N/A
Valery Joseph Salon,(212) 517-7377,N/A,N/A,Beauty SalonsDay Spas,N/A
Salon Stanley,(212) 722-2624,N/A,N/A,Beauty Salons,N/A
Alicias Hair Stylist,(212) 694-1111,N/A,N/A,Beauty Salons,N/A
Premier Salons,(718) 855-1585,N/A,N/A,Beauty Salons,N/A
Hoboken Buzz Cuts,(201) 216-0500,N/A,N/A,Beauty Salons,N/A
Tomoko Shima Hair Salon,(212) 722-8828,N/A,N/A,Beauty SalonsHair Stylists,N/A
Carol's Daughter,(201) 798-3800,N/A,N/A,Beauty SalonsCosmetics & PerfumesDay Spas,N/A
Jeffrey Stein Salon West,(212) 787-7717,N/A,N/A,Beauty SalonsWigs & Hair Pieces,N/A
"Bare UR Self Hair Removal, Inc.",(917) 679-6526,N/A,N/A,Beauty Salons,
Swing Hair Salon,(212) 677-2008,N/A,N/A,Beauty SalonsHair RemovalHair Stylists,
All about Hair,(646) 464-3905,N/A,N/A,Beauty SalonsHair Stylists,N/A
La Cave Salon & Day Spa,(212) 229-9122,N/A,N/A,Beauty SalonsMassage TherapistsHair Stylists,N/A
Jhee,(212) 302-7638,N/A,N/A,Beauty SalonsDay Spas,N/A
Dima Salon,(212) 229-2988,N/A,N/A,Beauty Salons,N/A
Hair Party 24 Hours,(212) 213-0056,N/A,N/A,Beauty SalonsHair StylistsCosmetologists,N/A
Salon X,(201) 420-8782,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Kiyora Salon,(212) 414-4488,N/A,N/A,Beauty SalonsCosmetologistsHair Removal,N/A
Eva Scrivo Salon,(212) 677-7315,N/A,N/A,Beauty SalonsDay SpasHair Removal,N/A
Royal Mountain Hair Salon,(212) 787-7528,N/A,N/A,Beauty SalonsDay SpasHair Stylists,N/A
China Beauty Salon,(212) 732-3846,N/A,N/A,Beauty Salons,N/A
Serenity Salon,(212) 971-0944,N/A,N/A,Beauty Salons,N/A
Nick Unisex Beauty Salon,(212) 246-0563,N/A,N/A,Beauty Salons,N/A
Mary Michaels Hair Salon,(201) 798-7090,N/A,N/A,Beauty SalonsHair Stylists,N/A
Tower of Beauty Salon,(201) 659-9483,N/A,N/A,Beauty Salons,N/A
Best Cuts,(212) 545-9997,N/A,N/A,Beauty SalonsBarbersHair Stylists,N/A
Elite Conceptions Hair Lounge,(212) 234-9144,N/A,N/A,Beauty SalonsHair Stylists,N/A
Lasio Studios,(212) 477-2088,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Mtro Central,(201) 413-9300,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Jelanis Naturals Inc,(212) 850-0917,N/A,N/A,Beauty SalonsNail SalonsDay Spas,N/A
Lisa Chiccine Salon,(212) 355-0025,N/A,N/A,Beauty SalonsDay Spas,N/A
Self Salon,(718) 599-1449,N/A,N/A,Beauty SalonsDay SpasHair Stylists,N/A
Baishi Beauty Salon Inc,(212) 587-3305,N/A,N/A,Beauty Salons,N/A
Oggi Hair and Nail Salon,(212) 485-4988,N/A,N/A,Beauty Salons,N/A
Fox & Jane Salon,(212) 837-2774,N/A,N/A,Beauty Salons,N/A
So-Hair,(212) 226-9222,N/A,N/A,Beauty Salons,N/A
Miwa-Alex Salon,(212) 228-4422,N/A,N/A,Beauty Salons,N/A
Premier Salons,(212) 695-4624,N/A,N/A,Beauty Salons,N/A
T New York Inc,(212) 355-0405,N/A,N/A,Beauty SalonsHair Stylists,N/A
Rita Hazan Salon,(212) 586-4343,N/A,N/A,Beauty SalonsHair Weaving,N/A
Lashes By Kim,(347) 856-7665,N/A,N/A,Beauty SalonsMake-Up Artists,N/A
Legends Hair and Nail Studio,(201) 985-1881,N/A,N/A,Beauty SalonsMassage TherapistsHair Stylists,
Beehives & Buzzcuts,(646) 476-8128,N/A,N/A,Beauty SalonsDay SpasNail Salons,N/A
Whittemore House,(212) 242-8880,N/A,N/A,Beauty SalonsHair Stylists,N/A
Salon Marrow Dyckman Newman,(212) 661-7100,N/A,N/A,Beauty Salons,N/A
Universal Master Hair Salon,(212) 319-7610,N/A,N/A,Beauty SalonsHair Stylists,N/A
Chris Chase Salon,(212) 206-7991,N/A,N/A,Beauty SalonsDay Spas,
bliss spa,(877) 862-5477,N/A,N/A,Beauty SalonsDay Spas,N/A
Candy W Beauty,(212) 219-7007,N/A,N/A,Beauty Salons,N/A
Lucky Beauty Hair Salon,(212) 941-0933,N/A,N/A,Beauty Salons,N/A
B's Beauty Salon,(212) 966-6590,N/A,N/A,Beauty Salons,N/A
Hong Sing Unisex Beauty Salon,(212) 227-3745,N/A,N/A,Beauty Salons,N/A
Bleu8 Inc,(212) 777-1839,N/A,N/A,Beauty Salons,N/A
Beauty Spot,(212) 695-6416,N/A,N/A,Beauty Salons,N/A
Guy Thomas Salon,(212) 757-3874,N/A,N/A,Beauty Salons,N/A
Sister Aminata Hairbraiding,(212) 749-9300,N/A,N/A,Beauty Salons,N/A
Joseph Tyler Salon,(718) 802-9200,N/A,N/A,Beauty Salons,N/A
Crystal Palace Beauty,(212) 619-6599,N/A,N/A,Beauty SalonsSkin Care,N/A
Yun MIS Hair Salon,(212) 967-8282,N/A,N/A,Beauty Salons,N/A
anjels salon,(212) 221-2306,N/A,N/A,Beauty SalonsHair StylistsHair Braiding,N/A
Cortes by Fior,(212) 666-4877,N/A,N/A,Beauty Salons,N/A
My Dream Beauty Salon,(212) 569-2898,N/A,N/A,Beauty Salons,N/A
Image Unisex Salon-Spa,(718) 222-5565,N/A,N/A,Beauty SalonsHair Stylists,N/A
Yocasta's Hair Salon,(201) 309-9999,N/A,N/A,Beauty SalonsDay SpasNail Salons,N/A
Centro De Belleza,(212) 427-1179,N/A,N/A,Beauty Salons,
Rebellations,(201) 898-0044,N/A,N/A,Beauty Salons,N/A
Artistic Hair,(212) 587-3461,N/A,N/A,Beauty SalonsHair Stylists,N/A
Dashing Diva,(212) 570-0770,N/A,N/A,Beauty SalonsHair RemovalCosmetics & Perfumes,N/A
Beba Blue,(212) 792-6999,N/A,N/A,Beauty SalonsCosmetologistsDay Spas,N/A
Lee Lee Beauty & Hair Salon,(212) 528-1381,N/A,N/A,Beauty Salons,N/A
Parlor Hair Salon,(212) 673-5520,N/A,N/A,Beauty SalonsHair Stylists,N/A
Renaissance Hair Salon,(212) 688-8499,N/A,N/A,Beauty SalonsBarbers,N/A
Hair Rules Salon,(212) 315-2929,N/A,N/A,Beauty Salons,N/A
Amanda Estilo,(201) 216-1510,N/A,N/A,Beauty Salons,N/A
Shlomi Mor,(646) 682-7509,N/A,N/A,Beauty SalonsHealth ResortsDay Spas,N/A
Prada Grusel Salon,(212) 557-3123,N/A,N/A,Beauty Salons,N/A
Isaac B Salon,(212) 661-3800,N/A,N/A,Beauty Salons,
Lori Pak Beauty Spa Inc,(212) 288-5214,N/A,N/A,Beauty SalonsDay SpasHair Removal,N/A
Batallure Beauty,(646) 695-1800,N/A,N/A,Beauty Salons,N/A
Lavar Hair Designs,(212) 724-4492,N/A,N/A,Beauty SalonsHair WeavingHair Stylists,N/A
Eimi Salon Inc,(718) 222-1966,N/A,N/A,Beauty Salons,N/A
Taiwan Beauty Salon,(212) 962-9090,N/A,N/A,Beauty Salons,N/A
John Atchinson Salon,(212) 265-7206,N/A,N/A,Beauty SalonsHair Stylists,N/A
Peter Louis Salon,(212) 319-0019,N/A,N/A,Beauty Salons,N/A
Slate Salon,(212) 358-7583,N/A,N/A,Beauty SalonsHair Stylists,N/A
Kcm & Associates,(917) 640-3553,N/A,N/A,Beauty Salons,N/A
Armando Pina Hair Salon,(212) 207-4434,N/A,N/A,Beauty SalonsHair Stylists,
KK Salon,(212) 422-2681,N/A,N/A,Beauty SalonsHair Stylists,
Just Because Hair Therapy Salon,(718) 722-7810,N/A,N/A,Beauty SalonsHair StylistsCosmetologists,N/A
Inc Yui,(212) 647-9303,N/A,N/A,Beauty SalonsDay SpasHair Stylists,N/A
Beauty Entreprise,(212) 431-4631,N/A,N/A,Beauty Salons,N/A
Fiber Hair Spa,(646) 478-9991,N/A,N/A,Beauty SalonsHair Stylists,N/A
Simadi Salon,(212) 751-5739,N/A,N/A,Beauty SalonsHair Stylists,N/A
Model Hair Care,(212) 234-0733,N/A,N/A,Beauty Salons,N/A
Shampoo JC,(201) 395-0045,N/A,N/A,Beauty SalonsHair WeavingHair Stylists,
Wanda's Beauty Salon by Guille,(212) 795-7108,N/A,N/A,Beauty Salons,
Ks Salon,(212) 932-8531,N/A,N/A,Beauty SalonsDay SpasHair Removal,
