Business Name,Phone,Street Address,Locality,Category,Rating
Treebones  Resort,(831) 269-3448,N/A,N/A,HotelsResortsLodging,N/A
Ana Mesa Inn,(714) 426-9570,N/A,N/A,HotelsHotels-ApartmentMotels,
Lincoln Inn,(310) 803-9063,N/A,N/A,HotelsBoarding HousesRooming Houses,N/A
Borg's Ocean Front Motel,(831) 375-2406,N/A,N/A,HotelsLodgingMotels,N/A
Chardonnay  Lodge,(707) 255-4891,N/A,N/A,HotelsMotelsLodging,N/A
Grass Valley Courtyard Suites,(530) 272-7696,N/A,N/A,HotelsDay SpasWedding Chapels & Ceremonies,N/A
Roadway Inn,(530) 342-9472,N/A,N/A,HotelsLodgingMotels,
Lodge  House Inn The,(559) 707-4181,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Inns Of California,(831) 424-1741,N/A,N/A,HotelsMotelsLodging,N/A
Sands Motel,(951) 446-0722,N/A,N/A,HotelsLodgingMotels,N/A
Eagle Inn & Suites Motel,(657) 999-7058,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,N/A
Anaheim Tropic Motel,(657) 999-2221,N/A,N/A,HotelsLodgingMotels,N/A
Best Western Americana Inn,(619) 428-5521,N/A,N/A,Hotels,N/A
Sunrise Motel,(844) 812-2856,N/A,N/A,HotelsCorporate LodgingMotels,N/A
Ana Mesa Inn,(714) 362-3676,N/A,N/A,HotelsMotelsLodging,N/A
Topper Motel,(310) 671-0424,N/A,N/A,HotelsLodgingMotels,N/A
Hawthorn Suites By Wyndham,(510) 956-8223,N/A,N/A,Hotels,
Hitching Post Motel,(833) 640-7308,N/A,N/A,HotelsMotelsBed & Breakfast & Inns,N/A
Bestway Inn,(805) 872-2006,N/A,N/A,HotelsMotels,N/A
Cheshire Cat Inn,(805) 818-7909,N/A,N/A,HotelsBed & Breakfast & Inns,N/A
Budget Inn,(760) 552-7367,N/A,N/A,HotelsBed & Breakfast & InnsMotels,
Hacienda Motel,(442) 248-4941,N/A,N/A,HotelsMotels,
Mustang Motel,(323) 298-0351,N/A,N/A,HotelsBed & Breakfast & InnsLodging,
National 9 Inn,(530) 622-3884,N/A,N/A,HotelsLodgingMotels,N/A
BW Park Crest,(831) 372-4576,N/A,N/A,HotelsCorporate LodgingBed & Breakfast & Inns,
Snooty Fox Motor Inn,(323) 294-0083,N/A,N/A,HotelsBed & Breakfast & InnsLodging,
Kettle Motor Hotel,(714) 774-0996,N/A,N/A,HotelsMotelsLodging,N/A
Baldwin Hills Motor Inn,(323) 732-0864,N/A,N/A,HotelsHotels-ApartmentLodging,N/A
Bay Club Hotel,(619) 224-8888,N/A,N/A,HotelsLodgingBanquet Halls & Reception Facilities,
National 9 Inn,(530) 622-3884,N/A,N/A,HotelsLodgingMotels,N/A
Olympic Village Inn,(530) 581-6000,N/A,N/A,HotelsSki Centers & ResortsLodging,N/A
Gateway Restaurant & Lodge,(559) 465-9962,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,N/A
Budget Motel,(650) 966-5956,N/A,N/A,HotelsMotelsCorporate Lodging,
BestChoice Inn,(619) 476-9555,N/A,N/A,HotelsLodgingMotels,N/A
Dominion Courtyard Villas,(559) 433-8880,N/A,N/A,HotelsLodgingApartments,N/A
Lobos Lodge,(831) 624-3874,N/A,N/A,HotelsLodgingMotels,N/A
Sun Leisure Motel,(951) 928-3717,N/A,N/A,HotelsResortsMotels,N/A
Holiday Inn Express,(877) 600-8129,N/A,N/A,"HotelsTrade Shows, Expositions & FairsConference Centers",N/A
Sunrise Travel,(949) 837-0620,N/A,N/A,HotelsCruisesResorts,N/A
Jolly Roger Hotel,(310) 822-2904,N/A,N/A,HotelsResortsCorporate Lodging,
Travelodge Turlock,(209) 668-3400,N/A,N/A,HotelsLodgingMotels,N/A
The Terrace Room At Lake Merritt Hotel,(510) 832-2300,N/A,N/A,HotelsLodgingWedding Supplies & Services,
San Diego Marriott Gaslamp Quarter,(619) 696-0234,N/A,N/A,HotelsLodgingTheatres,
Mission Bell Motel,(805) 642-6831,N/A,N/A,HotelsMotelsLodging,
Islander Motel,(510) 796-8200,N/A,N/A,HotelsLodgingMotels,N/A
Terrace Inn & Suites,(510) 235-8335,N/A,N/A,HotelsMotelsClean Rooms-Installation & Equipment,N/A
Best Western Plus Redondo Beach Inn,(310) 540-3700,N/A,N/A,HotelsLodgingMotels,
Town House Motel,(707) 443-4536,N/A,N/A,HotelsLodgingMotels,N/A
Ramada San Jose,(408) 298-3500,N/A,N/A,HotelsResortsMotels,N/A
Inn San Francisco The,(415) 641-0188,N/A,N/A,HotelsResortsLodging,N/A
Calistoga Spa Hot Springs,(707) 942-6269,N/A,N/A,HotelsDay SpasLodging,N/A
Comfort Inn Mount Shasta Area,(530) 938-1982,N/A,N/A,HotelsLodgingMotels,N/A
Murphys Suites,(209) 728-2121,N/A,N/A,HotelsLodgingHotel & Motel Management,N/A
Robinson Rancheria Resort & Casino,(707) 262-4000,N/A,N/A,HotelsCasinosLodging,N/A
Kings Inn Sea World San Diego,(619) 297-2231,N/A,N/A,HotelsTheatresLodging,
Rodeway Inn,(530) 241-6464,N/A,N/A,HotelsLodgingMotels,
Nnstravels,(712) 526-6741,N/A,N/A,HotelsLodgingCruises,N/A
Little bus tours,(951) 704-6454,N/A,N/A,HotelsWineriesTransportation Services,N/A
Warner Springs Ranch Resort,(760) 782-4271,N/A,N/A,HotelsRecreation CentersLodging,N/A
Frosch Travel,(818) 762-0676,N/A,N/A,HotelsTravel Services-CommercialAirlines,N/A
Seacliff Inn,(831) 688-7300,N/A,N/A,HotelsLodgingWedding Chapels & Ceremonies,N/A
Gingerbread Mansion Inn,(855) 786-4001,N/A,N/A,HotelsLodgingRestaurants,N/A
Paradise Lodge,(818) 341-7200,N/A,N/A,HotelsLodgingMotels,
Donner Lake Village Resort,(888) 572-0291,N/A,N/A,HotelsLodgingMarinas,N/A
Castle Inn by the Sea,(805) 927-8605,N/A,N/A,HotelsMotelsBed & Breakfast & Inns,
The Slide Inn Lodge,(209) 586-5442,N/A,N/A,HotelsMotelsLodging,N/A
Vendange Carmel Inn & Suites,(831) 624-6400,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Ayres Lodge Alpine,(619) 445-5800,N/A,N/A,HotelsLodgingMotels,N/A
Orbit In Hotel,(760) 323-3585,N/A,N/A,HotelsBed & Breakfast & InnsLodging,
Champion Motel,(626) 571-6888,N/A,N/A,HotelsMotelsLodging,N/A
Motel 6,(760) 431-0745,N/A,N/A,HotelsMotelsLodging,
King Jr Hotel,(323) 233-5574,N/A,N/A,HotelsLodging,
White Horse Inn,(760) 924-3656,N/A,N/A,HotelsBed & Breakfast & InnsMotels,N/A
Arrow Inn,(209) 523-8674,N/A,N/A,HotelsBed & Breakfast & InnsMotels,N/A
Ruby Inn-Magnuson,(760) 932-7241,N/A,N/A,HotelsLodging,N/A
The Beach Cottages,(858) 483-7440,N/A,N/A,HotelsLodgingMotels,N/A
Hotel Internet Services,(760) 327-5423,N/A,N/A,Hotels,N/A
Sandpiper Motel,(949) 645-9137,N/A,N/A,HotelsMotelsLodging,N/A
El Tejon Motel,(916) 371-4910,N/A,N/A,HotelsLodgingMotels,
Elliott House Bed & Breakfast,(559) 492-0444,N/A,N/A,HotelsBed & Breakfast & InnsLodging,
Starlite Motel,(562) 866-3284,N/A,N/A,HotelsLodgingMotels,N/A
Vineyard Valley Inn,(707) 894-9119,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Shoreline Inn,(805) 995-3681,N/A,N/A,HotelsLodgingMotels,N/A
Northwood Lodge,(877) 865-1655,N/A,N/A,HotelsLodgingResorts,
Four Points by Sheraton San Francisco Bay Bridge,(510) 547-7888,N/A,N/A,HotelsLodging,N/A
Ramada by Wyndham Barstow,(760) 256-5673,N/A,N/A,Hotels,N/A
The Greens Hotel,(916) 921-1736,N/A,N/A,HotelsLodgingRestaurants,
Owl's Nest Lodging,(559) 683-3484,N/A,N/A,HotelsMotelsLodging,N/A
Milner Hotel,(213) 627-6981,N/A,N/A,HotelsLodging,N/A
Sierra Gables,(760) 935-4319,N/A,N/A,HotelsLodging,N/A
Jackson Hotel,(661) 634-9201,N/A,N/A,HotelsLodging,N/A
Torrance Plaza Hotel,(310) 212-5222,N/A,N/A,HotelsLodging,N/A
Carlin Country Cottages,(707) 942-9102,N/A,N/A,HotelsBed & Breakfast & InnsLodging,
Industrial Hotel,(650) 589-3897,N/A,N/A,HotelsLodging,N/A
Manteca Inn,(209) 239-1291,N/A,N/A,Hotels,N/A
America Motel,(323) 227-9339,N/A,N/A,HotelsMotelsLodging,N/A
Golden Eagle Motel,(530) 397-3114,N/A,N/A,HotelsMotelsLodging,N/A
Motel 6,(760) 873-8426,N/A,N/A,HotelsMotelsLodging,
Nash Hotel,(510) 841-1163,N/A,N/A,HotelsLodging,N/A
La Quinta,(714) 426-9833,N/A,N/A,HotelsLodgingMeeting & Event Planning Services,N/A
Golden Eagle Hotel,(415) 781-6859,N/A,N/A,Hotels,N/A
Lamp Lighter Motel,(831) 675-3691,N/A,N/A,HotelsMotels,
Kerman Inn Motel,(559) 846-6530,N/A,N/A,HotelsLodgingMotels,
Casa Larrea Inn,(760) 568-0311,N/A,N/A,HotelsMotelsBed & Breakfast & Inns,
Motel 6,(530) 934-7026,N/A,N/A,HotelsMotelsLodging,N/A
Great Western Inn,(707) 642-1510,N/A,N/A,HotelsLodgingMotels,N/A
Jerry's Motel,(213) 481-8181,N/A,N/A,HotelsMotels,N/A
Hilton Garden Inn Victorville,(760) 952-1200,N/A,N/A,HotelsLodging,N/A
"Blackbird Inn, A Four Sisters Inn",(707) 226-2450,N/A,N/A,HotelsBed & Breakfast & Inns,N/A
Hotel Pacific,(831) 373-5700,N/A,N/A,Hotels,
Stage Stop Inn,(530) 473-2281,N/A,N/A,HotelsCorporate LodgingLodging,N/A
Crazy 8 Motel,(714) 639-2500,N/A,N/A,HotelsMotelsLodging,N/A
Crystal Motel,(530) 527-1021,N/A,N/A,HotelsLodgingMotels,N/A
El Segundo Inn,(310) 644-4944,N/A,N/A,HotelsLodgingMotels,N/A
Mountain Inn,(909) 391-1708,N/A,N/A,HotelsLodgingMotels,
Budget Inn Motel,(559) 992-3171,N/A,N/A,HotelsMotelsLodging,
Gunn House Hotel,(209) 532-3421,N/A,N/A,HotelsMotelsLodging,N/A
Hyde Park Motel,(323) 752-0355,N/A,N/A,HotelsMotelsLodging,
Plaza Hotel,(619) 233-8165,N/A,N/A,HotelsHotels-ApartmentMotels,N/A
Cosmos Hotel,(209) 948-5003,N/A,N/A,HotelsLodging,
Red Bluff Travelodge,(530) 690-2770,N/A,N/A,HotelsLodgingMotels,
Town and Country San Diego,(619) 291-7131,N/A,N/A,HotelsResortsCocktail Lounges,
Cheshire Rio Vacation Rentals,(831) 688-2041,N/A,N/A,HotelsVacation Homes Rentals & SalesCondominiums,N/A
The Queen Mary,(877) 342-0738,N/A,N/A,HotelsTours-Operators & PromotersTourist Information & Attractions,N/A
Elk Hotel,(415) 351-1192,N/A,N/A,HotelsLodgingMotels,N/A
La Luna Inn,(415) 346-4664,N/A,N/A,HotelsLodgingBed & Breakfast & Inns,N/A
Aqua Breeze Inn,(831) 426-7878,N/A,N/A,HotelsMotelsLodging,
El Sombrero Motel,(831) 422-3133,N/A,N/A,HotelsMotelsLodging,N/A
Live Oaks Market,(619) 766-4288,N/A,N/A,HotelsLodgingResorts,
St. Orres,(707) 884-3335,N/A,N/A,HotelsLodgingMotels,N/A
Americas Best Value Inn,(888) 433-5548,N/A,N/A,HotelsMotelsLodging,N/A
Residence Inn San Diego Carlsbad,(760) 431-9999,N/A,N/A,HotelsLodging,N/A
Smiley's Schooner Saloon & Hotel,(415) 868-1311,N/A,N/A,Hotels,
Econo Lodge,(714) 826-8100,N/A,N/A,HotelsMotelsLodging,N/A
Days Inn by Wyndham Fresno South,(559) 237-6644,N/A,N/A,HotelsMotelsLodging,N/A
Snug Harbor Inn,(310) 510-8400,N/A,N/A,HotelsBed & Breakfast & Inns,N/A
Travelodge,(805) 543-5110,N/A,N/A,HotelsLodgingMotels,
Gold Trail Motor Lodge,(530) 622-2906,N/A,N/A,HotelsLodgingMotels,
Childs Meadow Resort,(530) 595-3383,N/A,N/A,HotelsResortsLodging,N/A
Clarion,(213) 500-4586,N/A,N/A,HotelsLodgingMeeting & Event Planning Services,N/A
Wilshire Park Plaza,(213) 381-6300,N/A,N/A,HotelsBanquet Halls & Reception FacilitiesMeeting & Event Planning Services,N/A
The Monroe,(415) 474-6200,N/A,N/A,Hotels,N/A
Precision Hotel Interiors,(661) 257-6316,N/A,N/A,Hotels,N/A
SuiteAmerica,(916) 941-7970,N/A,N/A,HotelsLodgingCorporate Lodging,N/A
Simply Home Inn & Suites,(951) 687-3090,N/A,N/A,HotelsLodgingMotels,N/A
Hotel Mount Lassen,(530) 252-4000,N/A,N/A,Hotels,N/A
Zio Palace Motor Inn,(323) 242-2460,N/A,N/A,HotelsBed & Breakfast & Inns,N/A
LANE TRAVEL DESIGN,(323) 963-3880,N/A,N/A,HotelsTravel AgenciesCruises,N/A
Valley Park Hotel,(408) 293-5000,N/A,N/A,Hotels,N/A
Angelus Inn,(213) 229-9662,N/A,N/A,HotelsBed & Breakfast & InnsLodging,N/A
Fairmont Heritage Place - Ghirardelli Square,(415) 268-9900,N/A,N/A,HotelsLodging,N/A
Borrego Springs Resort,(760) 767-5700,N/A,N/A,HotelsLodgingBanquet Halls & Reception Facilities,N/A
Nimitz Motel,(510) 357-9770,N/A,N/A,HotelsMotelsLodging,
Hilton Garden Inn Gilroy,(408) 840-7000,N/A,N/A,HotelsLodging,N/A
Motel 6,(805) 265-4960,N/A,N/A,HotelsMotelsLodging,N/A
Mirror Motel,(323) 249-0052,N/A,N/A,HotelsMotelsLodging,N/A
Colusa Motel,(530) 458-4906,N/A,N/A,HotelsLodgingMotels,N/A
