Business Name,Phone,Street Address,Locality,Category,Rating
Charters of America,N/A,N/A,N/A,Airport TransportationBuses-Charter & RentalShuttle ServiceSchool Bus Service,
Precision Ny,N/A,N/A,N/A,Airport TransportationTransportation ServicesSightseeing ToursDriving Service,
Precision Ny,(212) 433-2399,N/A,N/A,Airport TransportationChauffeur ServiceLimousine Service,
Charters of America,(888) 544-1101,N/A,N/A,Airport TransportationBuses-Charter & RentalTransportation Services,
Society  Transportation,(844) 351-0728,N/A,N/A,Airport TransportationBus Tours-PromotersShuttle Service,
London Town Car,(212) 988-9700,N/A,N/A,Airport TransportationDriving ServiceLimousine Service,N/A
NEW YORK LIMOUSINE SERVICE,(212) 509-4444,N/A,N/A,Airport TransportationLimousine ServiceShuttle Service,N/A
BusNeeds.com,(646) 837-7823,N/A,N/A,Airport TransportationLimousine ServiceBuses-Charter & Rental,N/A
NY City Limo,(212) 444-8708,N/A,N/A,Airport TransportationLimousine ServiceTaxis,
Royal Luxury Limousine,(877) 769-2554,N/A,N/A,Airport TransportationLimousine ServiceShuttle Service,
Global Sedan Service NYC,(646) 801-3671,N/A,N/A,Airport TransportationLimousine Service,
Prime Star Limo,(646) 504-4478,N/A,N/A,Airport TransportationLimousine ServiceTaxis,
Empire Limousine,(212) 537-9304,N/A,N/A,Airport TransportationTransportation ServicesLimousine Service,N/A
NYC Wheelchair Transportation,(212) 920-7287,N/A,N/A,Airport TransportationLimousine ServiceBuses-Charter & Rental,
New York City Limo Service,(212) 380-3631,N/A,N/A,Airport TransportationLimousine ServiceWedding Supplies & Services,
Kazakhstan-Reisen USA L.P.,(646) 233-4350,N/A,N/A,Airport TransportationTours-Operators & PromotersTravel Agencies,
I Love NY Limo - New York Luxury Limousine Service,(212) 222-8666,N/A,N/A,Airport TransportationLimousine ServiceTours-Operators & Promoters,
"Elite Ride Service, Corporation",(917) 580-2470,N/A,N/A,Airport TransportationLimousine ServiceTransportation Providers,
GroundLink,(855) 747-6863,N/A,N/A,Airport TransportationTransportation ServicesTaxis,
Snappy Limousine Airport Specials to/from Manhattan: NWK $65.00 / JFK $55.00 / LGA 45.00,(888) 611-1090,N/A,N/A,Airport TransportationLimousine ServiceTransportation Providers,
Carmel Car and Limo Service,(212) 666-6666,N/A,N/A,Airport Transportation,
Power Luxury Radio Dispatch INC.,(212) 234-1111,N/A,N/A,Airport TransportationTaxisTransportation Services,
NYC Limo Deals,(855) 605-6000,N/A,N/A,Airport TransportationLimousine ServiceSightseeing Tours,N/A
NYC Rich Limo,(212) 920-7424,N/A,N/A,Airport TransportationDriving ServiceLimousine Service,N/A
New York Limousine Service,(646) 931-0346,N/A,N/A,Airport TransportationTaxisLimousine Service,N/A
NYC Limo Service,(212) 548-6061,N/A,N/A,Airport TransportationLimousine Service,N/A
Glenn Levit,(917) 691-0025,N/A,N/A,Airport Transportation,N/A
New York Airport Limo Service - JFK Airport,(646) 931-0346,N/A,N/A,Airport TransportationLimousine ServiceTransportation Services,N/A
Cheap Flights New York,(917) 675-4804,N/A,N/A,Airport TransportationAirline Ticket AgenciesTravel Agencies,N/A
Party Buses New York,(212) 271-4146,N/A,N/A,Airport TransportationLimousine ServiceBuses-Charter & Rental,N/A
Crestwood Autos,(646) 854-3255,N/A,N/A,Airport Transportation,N/A
"New York Flights, Ltd.",(347) 637-8716,N/A,N/A,Airport TransportationTravel AgenciesTravel Services-Commercial,N/A
VZ TRAVEL,(212) 256-1770,N/A,N/A,Airport TransportationLimousine Service,N/A
Double L Services Corp.,(877) 296-3150,N/A,N/A,Airport TransportationTransportation Services,N/A
"Orbis Transportation, LLC",(800) 878-2199,N/A,N/A,Airport TransportationParty & Event PlannersTransportation Services,N/A
Dash Xpress,(646) 944-0537,N/A,N/A,Airport TransportationExpress & Transfer ServiceTransportation Providers,N/A
NYC SUV Limo,(929) 239-4646,N/A,N/A,Airport TransportationWedding Chapels & Ceremonies,N/A
Corporate Express Limited,(212) 586-6420,N/A,N/A,Airport Transportation,N/A
NYC Cab .net,(201) 396-3121,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
FCSNY Limo Service of New York,(844) 666-4890,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
Detailed Drivers,(212) 347-5447,N/A,N/A,Airport TransportationTransportation ServicesLimousine Service,N/A
New York Kokusal,(212) 808-0810,N/A,N/A,Airport Transportation,N/A
NYC Airporter,(212) 661-1750,N/A,N/A,Airport Transportation,N/A
My Sedan,(212) 434-0400,N/A,N/A,Airport TransportationLimousine ServiceTransportation Services,N/A
Leros Point to Point,(212) 503-4000,N/A,N/A,Airport TransportationLimousine Service,N/A
Egypt Air,(212) 581-5600,N/A,N/A,Airport Transportation,N/A
LTS Limo Inc.,(855) 505-0587,N/A,N/A,Airport TransportationLimousine ServiceTransportation Providers,N/A
Ny One Limousine Inc,(212) 888-9600,N/A,N/A,Airport Transportation,N/A
Attitude New York Inc,(212) 397-0004,N/A,N/A,Airport Transportation,N/A
Andaz Limousine of NYC,(800) 750-8810,N/A,N/A,Airport TransportationLimousine Service,N/A
Avalon Aviation,(212) 605-0920,N/A,N/A,Airport Transportation,N/A
Quicklivery | Taxi | Limo | Airport Transportation,(617) 833-2333,N/A,N/A,Airport TransportationLimousine ServiceShuttle Service,N/A
Masada Private Car & Limo Svc,(212) 362-6011,N/A,N/A,Airport Transportation,N/A
Dream Trip Airport Limo,(914) 359-6873,N/A,N/A,Airport Transportation,N/A
A-1 Airport Service Of Stoneham,(212) 283-5872,N/A,N/A,Airport Transportation,N/A
NYC TAXI and CAR SERVICE,(888) 719-0002,N/A,N/A,Airport TransportationTaxis,N/A
Manhattan Taxi,(888) 719-0002,N/A,N/A,Airport TransportationTaxis,N/A
Arrow Limo,(646) 820-5466,N/A,N/A,Airport TransportationLimousine Service,N/A
Jolie,(855) 654-3111,N/A,N/A,Airport TransportationLimousine ServiceTransportation Services,N/A
SECOND AVE TAXI,(888) 719-0002,N/A,N/A,Airport TransportationTaxis,N/A
TOWERS TAXI,(888) 719-0002,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
7TH AVE TAXI,(888) 719-0002,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
2ND AVE TAXI,(888) 719-0002,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
WEST 23RD TAXI,(888) 719-0002,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
3RD AVENUE TAXI,(888) 719-0002,N/A,N/A,Airport TransportationLimousine ServiceTaxis,N/A
Go Limo Express,(212) 882-1975,N/A,N/A,Airport Transportation,N/A
LGBT Transportation Services,(347) 767-7753,N/A,N/A,Airport TransportationTaxisTransportation Services,N/A
Driver For Hire LLC,(917) 834-7416,N/A,N/A,Airport TransportationTaxis,N/A
NY Choice Limousine,(212) 380-1595,N/A,N/A,Airport TransportationLimousine ServiceTransportation Providers,
Limos & Vans,(800) 668-7688,N/A,N/A,Airport TransportationTransportation ProvidersTransportation Services,N/A
"Royal Way Limousine, Inc.",(212) 593-3291,N/A,N/A,Airport TransportationLimousine ServiceParty & Event Planners,N/A
Ace Gold Limo.Inc,(646) 279-1127,N/A,N/A,Airport TransportationTransportation ProvidersTransportation Services,N/A
Automotive Luxury Limo & Car Service,(929) 208-1420,N/A,N/A,Airport TransportationLimousine ServiceTransportation Services,N/A
NYC Wheelchair Transportation,(212) 705-8773,N/A,N/A,Airport TransportationSpecial Needs TransportationTransportation Services,
NY One Limo,(212) 888-9600,N/A,N/A,Airport TransportationLimousine ServiceTransportation Services,
