Business Name,Phone,Street Address,Locality,Category,Rating
L&L Hawaiian Barbecue,(808) 323-9888,N/A,N/A,RestaurantsHawaiian RestaurantsBarbecue Restaurants,N/A
The Coffee Shack,(808) 328-9555,N/A,N/A,RestaurantsAmerican Restaurants,
Hong Kong Chop Suey,(808) 323-3373,N/A,N/A,RestaurantsChinese Restaurants,N/A
South Kona Grindz,(808) 328-9000,N/A,N/A,RestaurantsCoffee ShopsAmerican Restaurants,N/A
Junjira Fresh Thai Kitchen,(808) 323-2753,N/A,N/A,RestaurantsThai RestaurantsAsian Restaurants,N/A
Big Jakes Island B-B-Q,(808) 328-1227,N/A,N/A,RestaurantsBarbecue RestaurantsAmerican Restaurants,N/A
Honaunau Poke Shop,(808) 896-0610,N/A,N/A,RestaurantsSeafood RestaurantsHawaiian Restaurants,N/A
Paparonis Pizza & Pasta,(808) 323-2661,N/A,N/A,RestaurantsItalian Restaurants,N/A
Oven & Butter,(808) 323-2003,N/A,N/A,RestaurantsAmerican Restaurants,N/A
Patz Pies,(808) 323-8100,N/A,N/A,RestaurantsPizzaItalian Restaurants,N/A
Hilo Lunch Shop,(808) 935-8273,N/A,N/A,RestaurantsTake Out RestaurantsJapanese Restaurants,
Manago Hotel,(808) 746-8082,N/A,N/A,RestaurantsMotelsHotels,
Loko Wraps,(808) 895-3356,N/A,N/A,RestaurantsHawaiian RestaurantsCaterers,N/A
Manago Hotel & Restaurant,(808) 323-2642,N/A,N/A,RestaurantsHawaiian Restaurants,N/A
The Coffee Shack,(808) 328-9555,N/A,N/A,RestaurantsCoffee Shops,N/A
Kona Lisa Coffee,(808) 426-8576,N/A,N/A,RestaurantsCoffee Shops,N/A
Barefoot Zone in Kona,(808) 936-2273,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Da Bomb Grindz,(808) 796-3247,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Manny's Mexican Restuarant,(808) 936-6214,N/A,N/A,RestaurantsMexican RestaurantsLatin American Restaurants,N/A
Da Kine Coffee,(808) 731-6017,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee Shops,N/A
Black Rock Pizza,(808) 731-6162,N/A,N/A,RestaurantsPizzaTake Out Restaurants,N/A
Big Rob's Bakery Cafe,(808) 854-1843,N/A,N/A,Restaurants,N/A
Shaka Tacoz,(808) 896-7706,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Coffee Shack,(808) 328-9555,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee Shops,N/A
Roccos Pizza,(808) 238-5679,N/A,N/A,RestaurantsPizza,N/A
Captain Cook L & L Inc,(808) 323-9888,N/A,N/A,RestaurantsHawaiian RestaurantsCaterers,N/A
The Coffee Shack,(808) 328-9555,N/A,N/A,RestaurantsCoffee & Espresso RestaurantsCoffee Shops,N/A
Caf Pesto,(808) 882-1071,N/A,N/A,Restaurants,N/A
Clam Bake,(808) 882-5810,N/A,N/A,RestaurantsTake Out Restaurants,N/A
Kaya's,(808) 322-8800,N/A,N/A,Restaurants,N/A
Keoki's Roadside Cafe,(808) 328-2259,N/A,N/A,RestaurantsCoffee Shops,N/A
Mahina Cafe,(808) 323-3200,N/A,N/A,RestaurantsCoffee Shops,N/A
Cronies Bar & Grill,(808) 746-8156,N/A,N/A,RestaurantsHawaiian Restaurants,N/A
Don's Grill,(808) 229-3927,N/A,N/A,Restaurants,
Dairy Queen (Treat),(808) 886-1029,N/A,N/A,RestaurantsFast Food RestaurantsIce Cream & Frozen Desserts,N/A
Subway,(808) 886-7488,N/A,N/A,RestaurantsFast Food RestaurantsTake Out Restaurants,N/A
Da Poke Shack,(808) 328-8862,N/A,N/A,RestaurantsMeat Markets,N/A
Breakers Hotel The,(808) 923-3181,N/A,N/A,RestaurantsMotelsHotels,N/A
Orange Julius,(808) 329-3765,N/A,N/A,RestaurantsJuicesIce Cream & Frozen Desserts,N/A
