Business Name,Phone,Street Address,Locality,Category,Rating
Page One - CLOSED,N/A,N/A,N/A,Paging & Signaling Equipment,N/A
One Hotel Central Park,(212) 703-2001,N/A,N/A,Hotels,N/A
Pod 51 Hotel,(212) 355-0300,N/A,N/A,LodgingHotels,
The Cloud One Hotel New York-Downtown,(646) 434-4649,N/A,N/A,HotelsLodging,N/A
Hotel 91,(212) 266-6800,N/A,N/A,HotelsLodging,N/A
Millennium Hilton New York One UN Plaza,(212) 758-1234,N/A,N/A,HotelsLodging,
First Class Wireless,(212) 239-1933,N/A,N/A,Cellular Telephone Equipment & SuppliesWireless Communication,N/A
One Stop Shop,(212) 858-9489,N/A,N/A,Cellular Telephone Service,N/A
One Stop Tel,(212) 444-3003,N/A,N/A,Cellular Telephone ServiceTelecommunications-Equipment & Supply,N/A
Wireless One NY,(212) 737-4200,N/A,N/A,Cellular Telephone Service,N/A
Verizon Wireless Authorized Retailer - Victra NYC 1314 1st Ave,(855) 805-5100,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & SystemsCellular Telephone Equipment & Supplies,N/A
101 Wireless One Inc,(212) 280-3300,N/A,N/A,Cellular Telephone Equipment & Supplies,N/A
U 1 Communications Wholesales,(212) 608-1988,N/A,N/A,Cellular Telephone Equipment & Supplies,N/A
One Stop Wireless,(212) 463-9999,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & Service,N/A
Sunny Wireless One,(212) 684-2515,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & ServiceCellular Telephone Equipment & Supplies,N/A
One World Wireless Inc,(212) 582-2727,N/A,N/A,Cellular Telephone ServiceWireless Communication,N/A
Wireless One of NYC,(212) 303-0000,N/A,N/A,Cellular Telephone ServiceCellular Telephone Equipment & Supplies,N/A
High Tech One Forty Seven,(646) 669-8187,N/A,N/A,Telephone Equipment & Systems-Repair & ServiceCellular Telephone Equipment & Supplies,N/A
One Stop Wireless,(212) 927-9100,N/A,N/A,Cellular Telephone ServiceTelephone Equipment & Systems-Repair & ServiceTelephone Companies,N/A
