Business Name,Phone,Street Address,Locality,Category,Rating
Sell My House Fast,N/A,N/A,N/A,Real Estate AgentsReal Estate Consultants,N/A
Hometown Properties,(409) 302-5020,N/A,N/A,Real Estate Developers,N/A
Remax,(409) 948-2330,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersReal Estate Consultants,N/A
Wyatt Real Estate,(409) 945-4424,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersReal Estate Management,N/A
Mansions at Moses Lake,(409) 943-5551,N/A,N/A,Real Estate AgentsApartment Finder & Rental ServiceReal Estate Management,N/A
Gulf Coast Realtors,(409) 945-7653,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Leopold & Strahan Realty Group,(409) 941-0010,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Global Real Estate,(409) 797-4216,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Bailey Properties Phase,(409) 986-4926,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
H & A Enterprises Inc,(409) 945-4601,N/A,N/A,Real Estate Agents,N/A
"Shives, Lauren",(409) 682-2330,N/A,N/A,Real Estate Agents,N/A
Decker International Group,(281) 571-3325,N/A,N/A,Real Estate Agents,N/A
Step Real Estate,(409) 938-4135,N/A,N/A,Real Estate Agents,N/A
"Ables, Wanda, AGT",(409) 948-0990,N/A,N/A,Real Estate Agents,N/A
HLC Enterprises Inc,(409) 682-0210,N/A,N/A,Real Estate Agents,N/A
Deem Realty Mainland,(409) 949-4848,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Wilkenfeld Company,(409) 945-8336,N/A,N/A,Real Estate AgentsReal Estate AppraisersAppraisers,N/A
Etheredge Property Management,(409) 948-4573,N/A,N/A,Real Estate AgentsReal Estate ManagementCondominium Management,N/A
Etheredge Real Estate,(409) 948-1788,N/A,N/A,Real Estate AgentsReal Estate ManagementReal Estate Buyer Brokers,N/A
Trumpet Properties,(409) 945-9764,N/A,N/A,Real Estate AgentsReal Estate ManagementReal Estate Buyer Brokers,N/A
Properties Plus,(409) 941-0211,N/A,N/A,Real Estate AgentsReal Estate ManagementReal Estate Buyer Brokers,N/A
Leopold Strahan,(409) 359-3434,N/A,N/A,Real Estate AgentsReal Estate ManagementReal Estate Buyer Brokers,N/A
NRP Group,(409) 908-0586,N/A,N/A,Real Estate AgentsCommercial Real Estate,N/A
Becky Nigrelle,(409) 229-7468,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Tom Berry REI,(409) 229-7251,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Becky Nigrelle Co,(409) 229-7468,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Jmk5 Texas City,(409) 986-3899,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Four Seasons Estate Services,(409) 392-2205,N/A,N/A,Real Estate AgentsEstate Appraisal & Sales,N/A
G & J Realty Solutions,(409) 945-3200,N/A,N/A,Real Estate AgentsReal Estate InvestingReal Estate Buyer Brokers,N/A
Stone Ridge Apartments,(833) 766-5175,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,
Tradewinds Apartments,(409) 948-8761,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,
PNC Mortgage,(409) 948-8488,N/A,N/A,MortgagesReal Estate Loans,N/A
Texas First Bank,(409) 948-1990,N/A,N/A,BanksLoansReal Estate Loans,N/A
Investar Bank,(409) 943-4533,N/A,N/A,BanksReal Estate Loans,N/A
Terraces at 2602,(409) 945-2589,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,N/A
The Veranda Apartments,(409) 948-0210,N/A,N/A,Furnished ApartmentsApartmentsReal Estate Rental Service,N/A
Boterra at Lago Mar,(409) 207-0999,N/A,N/A,ApartmentsReal Estate Rental Service,N/A
Beazer Homes Sunrise Cove,(409) 359-2461,N/A,N/A,Home BuildersReal Estate DevelopersHome Design & Planning,N/A
Lago Mar by Ashton Woods,(832) 895-7995,N/A,N/A,Home BuildersReal Estate DevelopersHome Design & Planning,N/A
Lago Mar by Pulte Homes,(832) 777-4938,N/A,N/A,Home BuildersReal Estate DevelopersHome Design & Planning,N/A
Harbour Glen,(409) 995-0245,N/A,N/A,Real Estate ManagementReal Estate Rental Service,N/A
Palmer House Apartments,(409) 948-1151,N/A,N/A,Apartment Finder & Rental ServiceApartmentsReal Estate Rental Service,N/A
Mira Vista Apartments,(409) 797-4649,N/A,N/A,Apartment Finder & Rental ServiceApartmentsReal Estate Rental Service,N/A
Green Meadows Apartments,(409) 945-3340,N/A,N/A,Apartment Finder & Rental ServiceApartmentsReal Estate Rental Service,N/A
Heritage Square Apartments,(409) 945-9345,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,N/A
Coral Manner Apartments,(409) 949-9595,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,N/A
Parkwood Apartments,(409) 945-2975,N/A,N/A,ApartmentsFurnished ApartmentsReal Estate Rental Service,N/A
Baypointe Manor Apartments,(409) 945-0135,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,N/A
Ashton Park Apartments,(409) 945-2589,N/A,N/A,ApartmentsReal Estate Rental ServiceRental Vacancy Listing Service,N/A
Lakewood Apartments,(409) 945-8205,N/A,N/A,ApartmentsFurnished ApartmentsReal Estate Rental Service,N/A
Haney & Associates,(409) 943-4200,N/A,N/A,Real Estate AppraisersAppraisers,N/A
Saint Charles Mortgage,(409) 229-7478,N/A,N/A,MortgagesReal Estate Loans,N/A
Mainland Crossing,(409) 938-3000,N/A,N/A,ApartmentsReal Estate Rental ServiceApartment Finder & Rental Service,N/A
Costa Mariposa Apartments,(409) 908-0552,N/A,N/A,ApartmentsReal Estate Rental Service,N/A
"H.J. ""Mike"" Cooper",(409) 632-5029,N/A,N/A,MortgagesFinancial ServicesReal Estate Loans,N/A
AMG the Oaks Apartments,(409) 933-1200,N/A,N/A,ApartmentsFurnished ApartmentsReal Estate Rental Service,N/A
Galveston Central Appraisal District,(409) 986-8515,N/A,N/A,AppraisersReal Estate Appraisers,N/A
Academy Mortgage Corp,(409) 229-1027,N/A,N/A,MortgagesLoansSavings & Loans,N/A
Wells Fargo Mortgage,(888) 418-6150,N/A,N/A,Real Estate LoansMortgages,N/A
Tara Apartments,(409) 941-0500,N/A,N/A,Apartment Finder & Rental ServiceReal Estate Management,N/A
Shoal Pointe Apartments,(409) 945-2866,N/A,N/A,CondominiumsApartmentsCondominium Management,N/A
Shoal Pointe Apartments,(409) 945-2866,N/A,N/A,CondominiumsApartmentsCondominium Management,N/A
BFJ Construction Inc,(409) 948-4388,N/A,N/A,General ContractorsReal Estate Developers,N/A
Leopld & Strahan Property Management,(409) 359-3434,N/A,N/A,Real Estate Management,N/A
Nunez Construction Co Inc,(409) 945-3459,N/A,N/A,General ContractorsBuilding Contractors-Commercial & IndustrialReal Estate Developers,N/A
Harbour Homes Inc,(409) 943-4828,N/A,N/A,Home BuildersReal Estate Developers,N/A
Greeneco Builders,(409) 797-4332,N/A,N/A,General ContractorsReal Estate DevelopersBuilding Construction Consultants,N/A
Texas Cash Home Buyers - Sell Your House Fast For Cash,(409) 547-7783,N/A,N/A,Real Estate Management,N/A
Lawyers Title Co,(409) 942-1996,N/A,N/A,AttorneysReal Estate Buyer BrokersGeneral Practice Attorneys,N/A
CMC Construction Services,(409) 945-3480,N/A,N/A,General ContractorsReal Estate DevelopersConcrete Contractors,N/A
Protherm Services,(409) 948-8581,N/A,N/A,General ContractorsHome BuildersPainting Contractors,N/A
Versa Property Management,(409) 908-0498,N/A,N/A,Real Estate Management,N/A
"Smith, Mark, AGT",(409) 935-7394,N/A,N/A,Real Estate Buyer BrokersInsurance,N/A
KB Home Vida Costera,(281) 721-0837,N/A,N/A,Home BuildersReal Estate DevelopersGeneral Contractors,N/A
Colina Homes,(409) 316-4622,N/A,N/A,Real Estate Developers,N/A
Greene Co Builders,(409) 316-4982,N/A,N/A,General ContractorsReal Estate Developers,N/A
Anglia Homes LP,(409) 229-7264,N/A,N/A,Home BuildersReal Estate Developers,N/A
Colina Homes,(409) 316-9282,N/A,N/A,Real Estate Developers,N/A
Colina Homes,(409) 316-4361,N/A,N/A,Real Estate Developers,N/A
Gehan Homes at Lago Mar Classic,(409) 316-4252,N/A,N/A,Home BuildersReal Estate Developers,N/A
James W Turner Construction Ltd,(409) 655-5730,N/A,N/A,General ContractorsReal Estate Developers,N/A
House Buyer Network,(833) 274-7871,N/A,N/A,Real Estate AgentsReal Estate Consultants,N/A
Sell My House Fast,(833) 275-0061,N/A,N/A,Real Estate AgentsReal Estate Consultants,N/A
Liz Buys Houses,(833) 274-9691,N/A,N/A,Real Estate AgentsReal Estate Consultants,N/A
"Reverse Lead Club, LLC",(866) 666-5541,N/A,N/A,LoansReal Estate LoansMortgages,
Southern Living Realty,(281) 337-4121,N/A,N/A,Real Estate AgentsReal Estate Consultants,N/A
Wyatt Real Estate,(409) 945-4424,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersReal Estate Consultants,N/A
RE/MAX 1st Choice,(409) 356-4612,N/A,N/A,Real Estate Agents,N/A
Miles Real Estate,(409) 938-0594,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Vista Real Estate,(409) 938-8000,N/A,N/A,Real Estate Agents,N/A
Doak Hoover Coastal Properties PW,(915) 276-6474,N/A,N/A,Real Estate Agents,N/A
Rapp Barney Realtors Inc,(281) 480-6555,N/A,N/A,Real Estate Agents,N/A
Regal Properties,(409) 935-1242,N/A,N/A,Real Estate AgentsReal Estate ManagementReal Estate Buyer Brokers,N/A
American Villas,(281) 320-1000,N/A,N/A,Real Estate AgentsReal Estate Management,N/A
The Texas Mortgage Company,(866) 858-8466,N/A,N/A,Real Estate Loans,
The Breakers,(409) 938-8813,N/A,N/A,ApartmentsFurnished ApartmentsReal Estate Rental Service,
Austin Investment Co,(409) 935-2911,N/A,N/A,Real Estate InvestingInvestments,N/A
Barry Shaneyfelt Construction,(409) 995-0130,N/A,N/A,General ContractorsReal Estate DevelopersBuilding Contractors-Commercial & Industrial,N/A
Mar Nan Apartments,(409) 935-9174,N/A,N/A,Apartment Finder & Rental ServiceReal Estate Management,N/A
Texas First Bank-Credit Novo,(409) 935-3523,N/A,N/A,Real Estate Management,N/A
Champion Builders,(409) 938-3052,N/A,N/A,Home BuildersReal Estate DevelopersBuilding Contractors,N/A
D. Green & Associates,(409) 718-0109,N/A,N/A,Real Estate Buyer Brokers,N/A
Meadows Construction Inc,(409) 935-9900,N/A,N/A,Building ContractorsReal Estate DevelopersConcrete Contractors,N/A
Island Real Estate Professionals,(409) 939-4144,N/A,N/A,Real Estate InvestingReal Estate Buyer Brokers,N/A
Oleanders on Broadway,(409) 515-4010,N/A,N/A,Real Estate Rental Service,N/A
Spicer Larry General Contractor,(409) 762-1081,N/A,N/A,General ContractorsReal Estate DevelopersBuilding Contractors,N/A
Clark Homes,(409) 941-0222,N/A,N/A,Home BuildersReal Estate Developers,N/A
Higginbotham Construction Inc,(409) 945-4087,N/A,N/A,General ContractorsReal Estate Developers,N/A
AM Coastal Construction,(409) 739-3265,N/A,N/A,"Home BuildersWindows-Repair, Replacement & InstallationGarages-Building & Repairing",N/A
Keith Downs Custom Homes,(409) 350-9004,N/A,N/A,Home BuildersGeneral ContractorsReal Estate Developers,N/A
Charles Michael Custom Homes,(409) 684-1001,N/A,N/A,Home BuildersReal Estate Developers,N/A
Walz Family Builders,(409) 515-8126,N/A,N/A,Home BuildersReal Estate Developers,N/A
Mohagany Builders Inc,(409) 945-5121,N/A,N/A,General ContractorsReal Estate DevelopersBuilding Contractors,N/A
Mainland Builders Inc,(409) 943-4242,N/A,N/A,General ContractorsReal Estate DevelopersBuilding Contractors,N/A
K. Hovnanian Homes Centennial Oaks,(888) 691-5163,N/A,N/A,Home BuildersReal Estate Developers,N/A
Kwt,(409) 684-1275,N/A,N/A,Home BuildersReal Estate DevelopersConcrete Contractors,N/A
Prudential Gary Greene,(409) 938-1121,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersCommercial Real Estate,N/A
Tom Schwenk Galveston Real Estate,(713) 857-2309,N/A,N/A,Real Estate AgentsCommercial Real Estate,
JANKE & CO PROPERTIES,(281) 686-2088,N/A,N/A,Real Estate Agents,N/A
Stepchinski Realtors LLP,(409) 938-4135,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersCommercial Real Estate,N/A
"Eriksson, Carla, AGT",(409) 938-0503,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersCommercial Real Estate,N/A
"Jenkins, William, AGT",(409) 526-9439,N/A,N/A,Real Estate AgentsReal Estate Buyer BrokersReal Estate Consultants,N/A
Menotti Real Estate,(409) 457-1986,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Comiskey Realty,(409) 935-0086,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Newport Gel,(409) 740-4200,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Targa Properties,(409) 316-4633,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Galvan Group Real Estate,(832) 384-4229,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
The Cousin Properties Antonio Smith,(713) 213-7340,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
Lighthouse Harbour Realty,(409) 440-8268,N/A,N/A,Real Estate Agents,N/A
Island Real Estate,(281) 380-3808,N/A,N/A,Real Estate Agents,N/A
JWK Enterprises Inc,(409) 935-3131,N/A,N/A,Real Estate Agents,N/A
The Hatmaker Group - William Jenkins,(409) 526-9439,N/A,N/A,Real Estate Agents,N/A
Blu,(409) 220-3564,N/A,N/A,Real Estate Agents,N/A
Caminos Historic Properties,(713) 897-9010,N/A,N/A,Real Estate Agents,N/A
Real Living the Hatmaker Group,(409) 744-4622,N/A,N/A,Real Estate Agents,N/A
Pelican Realty,(409) 744-4114,N/A,N/A,Real Estate Agents,N/A
"Galveston, TX Realtor - Michael Taber",(832) 231-7152,N/A,N/A,Real Estate Agents,N/A
Houston Realty,(281) 752-6582,N/A,N/A,Real Estate AgentsReal Estate Buyer Brokers,N/A
