Business Name,Phone,Street Address,Locality,Category,Rating
Citi Trends,(409) 278-2913,N/A,N/A,Clothing StoresMen's ClothingBoys Clothing,N/A
Rainbow Shops,(409) 986-9289,N/A,N/A,Clothing StoresWomen's ClothingMen's Clothing,N/A
Calvin Klein,(281) 534-8404,N/A,N/A,Clothing Stores,N/A
Rue21,(281) 337-2682,N/A,N/A,Clothing StoresMen's ClothingShoe Stores,N/A
UNEEK Designs Tshirts & More,(409) 692-3614,N/A,N/A,Clothing StoresT-ShirtsScreen Printing,N/A
Disney Store Outlet,(281) 337-1348,N/A,N/A,Clothing StoresCostumesGift Shops,N/A
Banana Republic,(281) 534-2452,N/A,N/A,Clothing StoresMen's ClothingWomen's Clothing,N/A
Express Factory Outlet,(832) 226-5225,N/A,N/A,Clothing StoresMen's ClothingWomen's Clothing,N/A
Gap,(281) 337-1360,N/A,N/A,Clothing StoresMen's ClothingWomen's Clothing,N/A
LOFT Outlet,(281) 337-6965,N/A,N/A,Clothing StoresMaternity ClothesJewelers,N/A
Columbia Factory Store,(832) 226-5283,N/A,N/A,Clothing StoresMen's ClothingShoe Stores,N/A
DD's Discounts,(409) 943-4274,N/A,N/A,Clothing StoresDiscount StoresHome Furnishings,N/A
Apparel Plus,(409) 933-3304,N/A,N/A,Clothing Stores,N/A
Tommy Hilfiger,(409) 986-4653,N/A,N/A,Clothing Stores,N/A
Old Navy,(281) 337-1251,N/A,N/A,Clothing StoresMen's ClothingBoys Clothing,N/A
PacSun,(281) 337-2585,N/A,N/A,Clothing StoresMen's ClothingSwimwear & Accessories,N/A
Justice,(281) 337-3603,N/A,N/A,Clothing StoresOutlet StoresGirls Clothing,N/A
J. Crew,(281) 534-3432,N/A,N/A,Clothing StoresMen's ClothingBoys Clothing,N/A
Tommy Bahama,(281) 337-1454,N/A,N/A,Clothing StoresMen's ClothingSwimwear & Accessories,N/A
Ralph Lauren,(281) 534-3244,N/A,N/A,Clothing StoresMen's ClothingWomen's Clothing,N/A
T -Body & Monogramming,(409) 986-1091,N/A,N/A,Clothing Stores,N/A
Safari X,(409) 995-0237,N/A,N/A,Clothing Stores,N/A
Inline Graphix,(409) 945-7455,N/A,N/A,Clothing StoresScreen PrintingT-Shirts,
White House | Black Market,(281) 337-2618,N/A,N/A,Clothing StoresWomen's ClothingWomen's Fashion Accessories,N/A
Journeys,(281) 534-4617,N/A,N/A,Clothing StoresShoe Stores,N/A
City Gear,(409) 739-8764,N/A,N/A,Clothing StoresShoe StoresSportswear,N/A
Five Below,(409) 287-9021,N/A,N/A,Clothing StoresDepartment StoresDiscount Stores,N/A
Torrid,(281) 337-2134,N/A,N/A,Clothing StoresWomen's ClothingWomen's Fashion Accessories,N/A
Texas City-Tanger Outlet Center,(281) 337-1721,N/A,N/A,Clothing StoresOutlet StoresShoe Stores,N/A
Levi's,(409) 220-1304,N/A,N/A,Clothing StoresJeans,N/A
Oshkosh B'Gosh,(281) 337-3452,N/A,N/A,Clothing StoresChildren & Infants ClothingBoys Clothing,N/A
COACH Outlet,(281) 534-3648,N/A,N/A,Clothing StoresHandbagsWomen's Clothing,N/A
Nike Factory Store,(281) 337-3584,N/A,N/A,Clothing StoresShoe StoresMen's Clothing,N/A
Chico's,(281) 337-3493,N/A,N/A,Clothing StoresWomen's ClothingWomen's Fashion Accessories,N/A
GUESS Factory,(281) 534-2288,N/A,N/A,Clothing StoresWomen's ClothingOutlet Stores,N/A
Polo Ralph Lauren Factory Store,(281) 534-2608,N/A,N/A,Clothing StoresOutlet Stores,N/A
Old Navy Outlet,(281) 337-1251,N/A,N/A,Clothing StoresOutlet Stores,N/A
JD Sports,(409) 440-7477,N/A,N/A,Clothing StoresSportswearShoe Stores,N/A
Ooh La La Couture,(409) 995-0976,N/A,N/A,Clothing StoresFormal Wear Rental & Sales,N/A
Sears,(409) 986-4055,N/A,N/A,Clothing StoresDepartment StoresMajor Appliances,N/A
New York & Company,(281) 337-1264,N/A,N/A,Clothing StoresWomen's ClothingWomen's Fashion Accessories,N/A
Asics America,(281) 309-0896,N/A,N/A,Clothing StoresSporting GoodsShoe Stores,N/A
Papaya Clothing,(281) 534-8300,N/A,N/A,Clothing StoresWomen's ClothingLingerie,N/A
Kasper,(281) 337-1626,N/A,N/A,Clothing StoresOutlet StoresMen's Clothing,N/A
Zumiez,(281) 337-3503,N/A,N/A,Clothing StoresShoe StoresSportswear,N/A
The Children's Place,(281) 534-2502,N/A,N/A,Clothing StoresChildren & Infants ClothingBoys Clothing,N/A
Haggar Outlet Store,(281) 337-3806,N/A,N/A,Clothing StoresMen's ClothingOutlet Stores,N/A
Hurley International,(281) 534-2040,N/A,N/A,Clothing StoresSportswear,N/A
Levi's Outlet,(281) 337-5384,N/A,N/A,Clothing StoresJeans,N/A
Bodycandy.com,(877) 829-5191,N/A,N/A,Clothing StoresWatchesTattoos,
Fashions by MS Hill,(409) 938-4455,N/A,N/A,Clothing StoresMen's Clothing,N/A
Karma Boutique,(409) 571-2319,N/A,N/A,Clothing StoresResale ShopsBoutique Items,N/A
Creative Christian Tee Shirts,(409) 692-4150,N/A,N/A,Clothing StoresT-Shirts,N/A
Hollywood Fashion,(409) 995-0731,N/A,N/A,Clothing Stores,N/A
Burkes Outlet,(281) 478-5273,N/A,N/A,Clothing StoresDiscount StoresVariety Stores,
Sue-Kies gifts and accessories,(409) 316-4232,N/A,N/A,Clothing StoresSports Cards & MemorabiliaGift Shops,N/A
Queen Royaltybite Clothing Line,(409) 229-7953,N/A,N/A,Clothing Stores,N/A
Affordable Jeans,(409) 935-3133,N/A,N/A,Clothing Stores,N/A
Sue Kies,(409) 316-4232,N/A,N/A,Clothing Stores,N/A
VF Outlet,(409) 938-3300,N/A,N/A,Clothing StoresWomen's ClothingMen's Clothing,N/A
Affordable Jeans,(409) 935-3133,N/A,N/A,Clothing Stores,N/A
Burkes Outlet,(409) 933-1324,N/A,N/A,Clothing StoresDiscount StoresVariety Stores,N/A
Sue Kies,(409) 316-4232,N/A,N/A,Clothing Stores,N/A
VF Outlet,(409) 938-3300,N/A,N/A,Clothing StoresWomen's ClothingMen's Clothing,N/A
Burkes Outlet,(409) 933-1324,N/A,N/A,Clothing Stores,N/A
Banging Boutique,(409) 526-5356,N/A,N/A,Clothing Stores,N/A
Ooh La La Couture,(409) 995-0976,N/A,N/A,Clothing StoresFormal Wear Rental & Sales,N/A
G County Apparel,(409) 359-3045,N/A,N/A,Clothing StoresShirts-Custom Made,N/A
V F Factory Outlet,(409) 938-3300,N/A,N/A,Clothing StoresDiscount Stores,N/A
Jo-Nel Enterprises,(281) 474-4549,N/A,N/A,Clothing StoresT-Shirts,N/A
Jammin,(409) 763-4005,N/A,N/A,Clothing StoresSwimwear & Accessories,N/A
Rainbow Shops,(409) 740-4674,N/A,N/A,Clothing StoresMen's ClothingBoys Clothing,N/A
Wings Beachwear 205,(409) 621-1665,N/A,N/A,Clothing Stores,N/A
The Style Co,(409) 750-8442,N/A,N/A,Clothing Stores,N/A
Head to Footsies,(409) 762-2727,N/A,N/A,Clothing Stores,
Hibbett,(346) 579-5875,N/A,N/A,Clothing StoresShoe Stores,N/A
Joe Flores,(409) 766-1250,N/A,N/A,Clothing Stores,N/A
Rue 21,(281) 337-2682,N/A,N/A,Clothing StoresMen's ClothingShoe Stores,N/A
Unbranched Apparel,(409) 539-1099,N/A,N/A,Clothing Stores,N/A
The Style Co,(409) 750-8442,N/A,N/A,Clothing Stores,N/A
The Home Store,(409) 497-2253,N/A,N/A,Clothing Stores,N/A
Sahasrara Branding,(281) 989-2760,N/A,N/A,Clothing Stores,N/A
Lllthislatta That,(409) 316-4134,N/A,N/A,Clothing Stores,N/A
Avon,(409) 925-8701,N/A,N/A,Clothing StoresPerfume-Wholesale & ManufacturersSkin Care,N/A
2nd Amendment Arms LLC,(832) 729-4867,N/A,N/A,Clothing StoresScreen PrintingGun Safety & Marksmanship Instruction,N/A
Bella MICA,(832) 738-1479,N/A,N/A,Clothing Stores,N/A
