Business Name,Phone,Street Address,Locality,Category,Rating
Firestone Complete Auto Care,N/A,N/A,N/A,Auto Repair & ServiceTire Dealers,
Firestone Complete Auto Care,(800) 364-4314,N/A,N/A,Auto Repair & ServiceTire Dealers,
Truckers Breakdown Truck Repair Towing & Commercial Tires,(855) 900-0085,N/A,N/A,Industrial Equipment & SuppliesTruck WreckingTruck Service & Repair,
Precision Truck and Trailer,(877) 355-6398,N/A,N/A,"TowingTractor Repair & ServiceTire Recap, Retread & Repair",N/A
Tires Plus,(800) 332-1449,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesTire Dealers,
Firestone Complete Auto Care,(800) 364-4314,N/A,N/A,Auto Repair & ServiceAuto TransmissionAutomotive Tune Up Service,N/A
AAMCO Transmission & Total Car Care,(800) 382-4703,N/A,N/A,Auto Repair & ServiceAutomobile Air Conditioning Equipment-Service & RepairAuto Oil & Lube,
A-B-E Car Care Center,(610) 295-5631,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesAutomobile Repairing & Service-Equipment & Supplies,N/A
Gravy Train Truck Repair,(717) 242-8515,N/A,N/A,Auto Repair & ServiceCoal & CokePublic Transportation,N/A
Bambergers Inc,(717) 450-7607,N/A,N/A,Auto Repair & ServiceGas CompaniesUtility Companies,
Roadcap Auto Repair,(717) 216-4579,N/A,N/A,Auto Repair & ServiceAutomobile Body Repairing & PaintingAuto Oil & Lube,
Driveline Service Of Pittsburgh,(412) 784-1991,N/A,N/A,Auto Repair & ServiceAxlesDriveshafts,N/A
Capital Auto Glass,(844) 362-7644,N/A,N/A,Auto Repair & ServiceWindshield RepairPlate & Window Glass Repair & Replacement,N/A
Superior Towing,(610) 266-0700,N/A,N/A,Auto Repair & ServiceMoversTowing,
St. Thomas Towing & Auto Repair Inc.,(717) 369-5992,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesTire Dealers,N/A
Pitt-Mon Auto Salvage Inc,(724) 258-4642,N/A,N/A,"Auto Repair & ServiceAutomobile Parts & SuppliesTruck Equipment, Parts & Accessories-Used",N/A
H & B NAPA Auto Care,(610) 929-4724,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesAutomobile Air Conditioning Equipment,N/A
Regester Chevrolet,(717) 320-8072,N/A,N/A,Auto Repair & ServiceUsed Car DealersNew Car Dealers,N/A
C G Auto Repair LLC,(814) 933-0148,N/A,N/A,Auto Repair & ServiceEmission Repair-Automobile & TruckBrake Repair,N/A
Rotation Station,(724) 838-1555,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesAutomobile Accessories,N/A
Custom Exhaust Shop,(223) 214-2043,N/A,N/A,Auto Repair & ServiceMufflers & Exhaust SystemsTire Dealers,N/A
Dan Olesnevich Fabricating,(724) 352-3160,N/A,N/A,Truck Equipment & PartsTruck Service & RepairMetal Specialties,N/A
River's Truck Center,(717) 229-1294,N/A,N/A,Wheels-Aligning & BalancingTransport TrailersTruck Service & Repair,
L & S Truck Painting LLC,(717) 271-7512,N/A,N/A,Automobile Parts & SuppliesTruck Service & Repair,N/A
Custom Diesel Service,(610) 437-2626,N/A,N/A,Shipping ServicesTruckingTire Dealers,
J J Heavy Repair Inc,(570) 745-2200,N/A,N/A,Masonry ContractorsGeneral ContractorsGardeners,N/A
Gress Towing,(610) 774-9994,N/A,N/A,TowingAutomobile SalvageTruck Service & Repair,N/A
Diesel Systems Sales & Service LLC,(717) 496-0911,N/A,N/A,Industrial Equipment & SuppliesTruck Service & RepairEngines-Diesel-Fuel Injection Parts & Service,N/A
Baltimore Freightliner-Western Star,(443) 961-4312,N/A,N/A,New Car DealersUsed Truck DealersTruck Service & Repair,N/A
Authorized Motor Service,(215) 693-6563,N/A,N/A,Auto Repair & ServiceEngine Rebuilding & ExchangeAuto Oil & Lube,
Byers Tire Service Inc Chambersburg,(717) 977-3380,N/A,N/A,Auto Repair & ServiceBrake RepairAutomobile Parts & Supplies,
Munroe Auto Body,(724) 252-2901,N/A,N/A,Auto Repair & ServiceAutomobile Body Shop Equipment & SuppliesAuto Body Parts,N/A
Action Truck Parts & Service,(717) 624-7111,N/A,N/A,Auto Repair & ServiceTruck TrailersTrailers-Repair & Service,N/A
Nolan's Pine Avenue Auto Service,(814) 240-6909,N/A,N/A,Auto Repair & ServiceEmissions Inspection StationsAutomobile Air Conditioning Equipment-Service & Repair,N/A
BR Czarnecki Towing,(814) 873-9038,N/A,N/A,Auto Repair & ServiceTruck Service & RepairAutomotive Roadside Service,N/A
Double D Truck & Auto Repair,(717) 601-2175,N/A,N/A,Auto Repair & ServiceTruck Service & RepairDiesel Engines,N/A
Lion Country Kia,(814) 201-6944,N/A,N/A,Auto Repair & ServiceTruck Service & RepairNew Truck Dealers,
Lebanon Auto Sales,(717) 450-7847,N/A,N/A,Auto Repair & ServiceUsed Car DealersUsed Truck Dealers,N/A
G  & T Auto Body & Towing,(610) 282-3065,N/A,N/A,Auto Repair & ServiceAutomobile Parts & SuppliesBuilding Contractors,N/A
Dan's Auto Body & Repair,(724) 761-2224,N/A,N/A,Auto Repair & ServiceBrake RepairAuto Engines Installation & Exchange,
Jacks  Auto Glass & Parts Philadelphia,(484) 352-2471,N/A,N/A,Auto Repair & ServiceShuttersFine Art Artists,
Red Rose Mirror & Glass Inc,(717) 394-4310,N/A,N/A,Auto Repair & ServiceHome Repair & MaintenancePlate & Window Glass Repair & Replacement,
Clint's Auto Body,(610) 799-3222,N/A,N/A,Auto Repair & ServiceAutomobile Body Repairing & Painting,N/A
Ardmore Tire Inc,(610) 834-1075,N/A,N/A,Auto Repair & ServiceAutomobile AccessoriesAutomobile Parts & Supplies,N/A
Randy's Automotive,(717) 398-0757,N/A,N/A,Auto Repair & ServiceAutomobile Diagnostic ServiceGas Stations,
